Player,Tm,Age,Pos,G_P,GS,Tgt,Rec_P,Ctch%,Yds_P,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,Fmb,G,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Khalil Shakir,BUF,22,WR,14,2,20.0,10,50.0%,161,1,7,40.0,8.1,0.7,11.5,0.0,11.0,64.0,902.6666666666666,14.033333333333333,6.333333333333333,83.0,1017.3333333333334,12.233333333333334,7.333333333333333,MWC,Boise St.,6-0,196.0,4.43,34.5,124.0,True,276.0
Jalen Nailor,MIN,23,WR,15,0,13.0,9,69.2%,179,1,7,69.2,13.8,0.6,11.9,0.0,8.0,31.5,604.5,19.3,5.0,33.0,608.5,18.5,5.0,Big Ten,Michigan St.,5-11,186.0,4.5,38.0,128.0,True,351.0
Kyle Philips,TEN,23,WR,4,0,13.0,8,61.5%,78,0,3,38.5,6.0,2.0,19.5,2.0,10.0,52.333333333333336,596.6666666666666,11.200000000000001,5.666666666666667,54.0,612.3333333333334,11.200000000000001,5.666666666666667,Pac-12,UCLA,5-11,189.0,4.58,33.5,124.0,True,291.0
Teagan Quitoriano,HOU,22,TE,9,6,14.0,7,50.0%,113,2,5,42.9,8.1,0.8,12.6,0.0,7.0,14.0,185.0,13.2,1.0,14.0,185.0,13.2,1.0,Pac-12,Oregon St.,6-6,258.0,4.52,35.5,35.5,True,298.0
Grant Calcaterra,PHI,24,TE,15,2,9.0,5,55.6%,81,0,3,44.4,9.0,0.3,5.4,0.0,12.0,38.0,465.0,12.2,4.0,38.0,465.0,12.2,4.0,American,SMU,6-4,241.0,4.62,35.5,35.5,True,358.0
Charlie Kolar,BAL,23,TE,2,0,6.0,4,66.7%,49,0,3,66.7,8.2,2.0,24.5,0.0,12.0,52.333333333333336,681.3333333333334,13.1,6.666666666666667,52.333333333333336,681.3333333333334,13.1,6.666666666666667,Big 12,Iowa St.,6-7,252.0,4.52,35.5,35.5,True,224.0
Jalen Tolbert,DAL,23,WR,8,1,3.0,2,66.7%,12,0,0,33.3,4.0,0.3,1.5,0.0,11.666666666666666,57.666666666666664,1026.6666666666667,18.099999999999998,7.333333333333333,57.666666666666664,1026.6666666666667,18.099999999999998,7.333333333333333,Sun Belt,South Alabama,6-1,194.0,4.49,36.0,123.0,True,152.0
Cole Turner,WAS,22,TE,10,2,9.0,2,22.2%,23,0,1,11.1,2.6,0.2,2.3,0.0,10.0,55.5,641.0,11.600000000000001,9.5,55.5,641.0,11.600000000000001,9.5,MWC,Nevada,6-6,246.0,4.76,27.0,120.0,True,277.0
Erik Ezukanma,MIA,22,WR,1,0,1.0,1,100.0%,3,0,0,0.0,3.0,1.0,3.0,0.0,11.0,45.333333333333336,705.6666666666666,15.6,4.666666666666667,48.666666666666664,751.6666666666666,15.533333333333333,5.333333333333333,Big 12,Texas Tech,6-2,209.0,4.52,36.5,126.0,True,221.0
Danny Gray,SFO,23,WR,13,0,7.0,1,14.3%,10,0,1,14.3,1.4,0.1,0.8,0.0,9.0,41.0,625.5,15.0,6.5,44.0,660.5,14.75,7.5,American,SMU,6-0,186.0,4.33,34.0,126.0,True,169.0
