Player,Tm,Age,Tgt,Rec_P,Ctch%,Yds_p,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,G_P,GS,Att,Yds_R_P,TD_R_P,1D_P,Succ%_R,Y/A,Y/G_R,Fmb,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Alvin Kamara,NOR,22,100.0,81,81.0%,826,5,38,56.0,8.3,5.1,51.6,16,3,120,728,8,42,50.8,6.1,45.5,1,12.0,105.0,647.0,6.15,8.0,37.0,341.5,9.2,3.5,142.0,988.5,6.95,11.5,SEC,Tennessee,5-10,214.0,4.56,39.5,131.0,True,131.0
Christian McCaffrey,CAR,21,113.0,80,70.8%,651,5,37,50.4,5.8,5.0,40.7,16,10,117,435,2,22,45.3,3.7,27.2,2,12.5,295.0,1811.0,6.15,10.5,41.0,477.5,11.350000000000001,4.0,336.0,2288.5,6.8,14.5,Pac-12,Stanford,5-11,202.0,4.48,37.5,121.0,True,8.0
Kareem Hunt,KAN,22,63.0,53,84.1%,455,3,17,49.2,7.2,3.3,28.4,16,16,272,1327,8,63,43.8,4.9,82.9,1,11.0,195.5,1236.25,6.35,11.0,18.25,138.75,5.975,0.25,213.75,1375.0,6.425,11.25,MAC,Toledo,5-10,216.0,4.62,36.5,119.0,True,150.0
Leonard Fournette,JAX,22,48.0,36,75.0%,302,1,18,56.3,6.3,2.8,23.2,13,13,268,1040,9,51,43.3,3.9,80.0,2,10.666666666666666,205.33333333333334,1276.6666666666667,6.166666666666667,13.333333333333334,13.666666666666666,175.33333333333334,13.700000000000001,0.3333333333333333,219.0,1452.0,6.6000000000000005,13.666666666666666,SEC,LSU,6-0,240.0,4.51,28.5,34.5,True,4.0
Wayne Gallman,NYG,23,48.0,34,70.8%,193,1,8,43.8,4.0,2.6,14.8,13,1,111,476,0,24,51.4,4.3,36.6,3,14.0,225.33333333333334,1143.0,5.033333333333334,11.333333333333334,21.666666666666668,157.66666666666666,7.3999999999999995,0.6666666666666666,247.0,1300.6666666666667,5.166666666666667,12.0,ACC,Clemson,6-0,215.0,4.6,29.5,120.0,True,236.0
Jamaal Williams,GNB,22,34.0,25,73.5%,262,2,12,52.9,7.7,1.6,16.4,16,7,153,556,4,32,48.4,3.6,34.8,0,10.75,181.5,975.25,5.275,8.75,15.0,141.75,8.975,0.25,196.5,1117.0,5.55,9.0,Ind,BYU,6-0,212.0,4.59,30.0,123.0,True,230.0
Samaje Perine,WAS,22,24.0,22,91.7%,182,1,9,75.0,7.6,1.4,11.4,16,8,175,603,1,23,41.1,3.4,37.7,2,12.0,228.33333333333334,1374.0,5.966666666666666,16.333333333333332,13.333333333333334,107.0,8.299999999999999,0.6666666666666666,241.66666666666666,1481.0,6.1000000000000005,17.0,Big 12,Oklahoma,5-11,233.0,4.65,33.0,116.0,True,210.0
Marlon Mack,IND,21,33.0,21,63.6%,225,1,10,45.5,6.8,1.5,16.1,14,0,93,358,3,20,40.9,3.8,25.6,1,12.0,195.33333333333334,1203.0,6.2,10.666666666666666,21.666666666666668,166.0,7.533333333333334,0.3333333333333333,217.0,1369.0,6.333333333333333,11.0,American,South Florida,5-11,213.0,4.5,35.5,125.0,True,239.0
Elijah McGuire,NYJ,23,26.0,17,65.4%,177,1,10,42.3,6.8,1.1,11.1,16,2,88,315,1,14,30.7,3.6,19.7,2,12.75,177.75,1078.0,6.475,10.5,32.25,345.75,11.25,2.5,210.0,1423.75,7.25,13.0,Sun Belt,Louisiana,5-10,214.0,4.53,36.0,120.0,True,348.0
Dalvin Cook,MIN,22,16.0,11,68.8%,90,0,3,43.8,5.6,2.8,22.5,4,4,74,354,2,16,51.4,4.8,88.5,1,12.666666666666666,229.0,1488.0,6.466666666666666,15.333333333333334,26.333333333333332,311.6666666666667,11.4,0.6666666666666666,255.33333333333334,1799.6666666666667,6.966666666666666,16.0,ACC,Florida State,5-10,210.0,4.49,30.5,116.0,True,73.0
Corey Clement,PHI,23,15.0,10,66.7%,123,2,6,53.3,8.2,0.6,7.7,16,0,74,321,4,19,48.6,4.3,20.1,0,13.5,230.5,1162.0,5.45,12.0,13.0,125.5,9.75,1.0,243.5,1287.5,5.6,13.0,Big Ten,Wisconsin,5-10,220.0,4.68,28.5,115.0,False,225.0
Aaron Jones,GNB,23,18.0,9,50.0%,22,0,2,11.1,1.2,0.8,1.8,12,4,81,448,4,23,53.1,5.5,37.3,0,11.0,208.66666666666666,1301.6666666666667,6.133333333333333,10.666666666666666,20.666666666666668,180.0,7.2,2.0,229.33333333333334,1481.6666666666667,6.3,12.666666666666666,CUSA,Texas-El Paso,5-9,208.0,4.56,37.5,127.0,True,310.0
Chris Carson,SEA,23,8.0,7,87.5%,59,1,3,75.0,7.4,1.8,14.8,4,3,49,208,0,13,40.8,4.2,52.0,0,10.5,106.5,538.0,5.35,6.5,15.0,149.0,9.9,0.5,121.5,687.0,5.9,7.0,Big 12,Oklahoma State,6-0,218.0,4.58,37.0,130.0,True,441.0
D'Onta Foreman,HOU,21,8.0,6,75.0%,83,0,4,62.5,10.4,0.6,8.3,10,1,78,327,2,13,39.7,4.2,32.7,2,10.5,209.0,1354.5,6.75,10.0,6.0,69.5,11.75,0.0,215.0,1424.0,6.95,10.0,Big 12,Texas,6-0,233.0,4.54,34.5,34.5,True,153.0
Brian Hill,2TM,22,2.0,2,100.0%,36,0,0,50.0,18.0,0.3,5.1,7,0,11,37,0,0,45.5,3.4,5.3,0,12.666666666666666,258.3333333333333,1429.0,5.533333333333334,11.666666666666666,13.666666666666666,134.33333333333334,10.233333333333333,0.0,272.0,1563.3333333333333,5.866666666666667,11.666666666666666,MWC,Wyoming,6-1,219.0,4.54,34.0,125.0,True,284.0
