Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick
2010,Chad Jones,S,LSU,6-2,221.0,4.59,36.0,9.0,115.0,6.83,4.14,True,3,76
2010,Linval Joseph,DT,East Carolina,6-4,328.0,5.09,30.0,39.0,100.0,8.12,4.71,True,2,46
2010,Kevin Jurovich,WR,San Jose State,5-11,188.0,4.45,,14.0,,,,False,,
2010,Mike Kafka,QB,Northwestern,6-3,225.0,4.93,32.0,,110.0,6.96,4.37,True,4,122
2010,Sergio Kindle,OLB,Texas,6-3,250.0,4.65,36.5,25.0,118.0,7.26,4.53,True,2,43
2010,Jammie Kirlew,DE,Indiana,6-1,260.0,5.05,33.0,26.0,111.0,7.5,4.74,True,7,232
2010,Matt Kopa,OT,Stanford,6-6,300.0,5.14,,,,,,False,,
2010,Keaton Kristick,OLB,Oregon State,6-3,234.0,4.7,34.0,16.0,120.0,6.96,4.21,False,,
2010,Brandon LaFell,WR,LSU,6-2,211.0,4.58,36.0,,115.0,6.81,4.23,True,3,78
2010,Brandon Lang,DE,Troy,6-4,266.0,5.0,28.5,20.0,104.0,,4.68,False,,
2010,Ted Larsen,C,North Carolina State,6-3,304.0,5.19,24.0,26.0,96.0,7.81,4.66,True,6,205
2010,Shawn Lauvao,OG,Arizona State,6-3,315.0,5.22,26.5,33.0,101.0,7.56,4.51,True,3,92
2010,Simoni Lawrence,OLB,Minnesota,6-0,232.0,4.59,40.0,21.0,123.0,7.3,4.43,False,,
2010,Boris Lee,ILB,Troy,6-0,238.0,4.94,32.5,27.0,112.0,,,False,,
2010,Sean Lee,ILB,Penn State,6-2,236.0,4.71,37.5,24.0,120.0,,,True,2,55
2010,Dan LeFevour,QB,Central Michigan,6-3,230.0,4.6,29.5,,110.0,6.93,4.22,True,6,181
2010,Kendrick Lewis,S,Mississippi,6-0,198.0,4.73,31.5,16.0,116.0,6.88,4.33,True,5,136
2010,Myron Lewis,S,Vanderbilt,6-2,203.0,4.42,37.0,10.0,126.0,,,True,3,67
2010,Thaddeus Lewis,QB,Duke,6-0,215.0,4.84,28.0,,107.0,,,False,,
