Player,School,Conf,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Year
Montee Ball,Wisconsin,Big Ten,9,98,391,4.0,4,9,92,10.2,0,107,483,4.5,4,2009
Daunte Owens,Florida International,Sun Belt,10,93,376,4.0,5,9,87,9.7,0,102,463,4.5,5,2009
Dan Lefevour,Central Michigan,MAC,14,183,713,3.9,15,1,24,24.0,0,184,737,4.0,15,2009
Dan Herron,Ohio State,Big Ten,10,153,600,3.9,7,11,66,6.0,1,164,666,4.1,8,2009
Dujuan Harris,Troy,Sun Belt,13,151,583,3.9,10,27,242,9.0,2,178,825,4.6,12,2009
Larry Caper,Michigan State,Big Ten,12,120,468,3.9,6,3,47,15.7,0,123,515,4.2,6,2009
Dwight Tardy,Washington State,Pac-10,12,107,417,3.9,2,18,114,6.3,0,125,531,4.2,2,2009
Jamad Williams,Tulsa,CUSA,12,101,389,3.9,1,11,86,7.8,1,112,475,4.2,2,2009
Ricky Dobbs,Navy,Ind,13,315,1203,3.8,27,,,,,315,1203,3.8,27,2009
Austen Arnaud,Iowa State,Big 12,12,147,561,3.8,8,,,,,147,561,3.8,8,2009
Duane Bennett,Minnesota,Big Ten,13,98,376,3.8,6,16,194,12.1,2,114,570,5.0,8,2009
Josh Nesbitt,Georgia Tech,ACC,14,279,1037,3.7,18,0,0,,0,279,1037,3.7,18,2009
Ryan Houston,North Carolina,ACC,13,191,713,3.7,9,11,82,7.5,0,202,795,3.9,9,2009
Trey Revell,Louisiana-Monroe,Sun Belt,10,95,354,3.7,5,,,,,95,354,3.7,5,2009
Terrance Cain,Utah,MWC,12,87,318,3.7,2,,,,,87,318,3.7,2,2009
Arby Fields,Northwestern,Big Ten,13,82,302,3.7,5,17,79,4.6,0,99,381,3.8,5,2009
Dwayne Priest,Eastern Michigan,MAC,11,175,633,3.6,7,9,84,9.3,0,184,717,3.9,7,2009
Brandon Sullivan,San Diego State,MWC,10,154,558,3.6,4,16,117,7.3,0,170,675,4.0,4,2009
Yobes Walker,Louisiana,Sun Belt,10,116,412,3.6,2,4,31,7.8,0,120,443,3.7,2,2009
Bilal Powell,Louisville,Big East,11,108,392,3.6,4,12,103,8.6,0,120,495,4.1,4,2009
Trent Steelman,Army,Ind,12,202,706,3.5,5,1,1,1.0,0,203,707,3.5,5,2009
Juice Williams,Illinois,Big Ten,11,143,507,3.5,4,2,-1,-0.5,0,145,506,3.5,4,2009
Jerrod Johnson,Texas A&M,Big 12,13,145,506,3.5,8,,,,,145,506,3.5,8,2009
Jake Locker,Washington,Pac-10,12,112,388,3.5,7,,,,,112,388,3.5,7,2009
Tyrod Taylor,Virginia Tech,ACC,13,106,370,3.5,5,,,,,106,370,3.5,5,2009
Davin Meggett,Maryland,ACC,12,99,338,3.4,6,14,175,12.5,1,113,513,4.5,7,2009
Zach Maynard,Buffalo,MAC,12,87,300,3.4,1,,,,,87,300,3.4,1,2009
Jamelle Eugene,North Carolina State,ACC,10,99,309,3.1,2,16,120,7.5,0,115,429,3.7,2,2009
Joey Elliott,Purdue,Big Ten,12,87,268,3.1,4,,,,,87,268,3.1,4,2009
Omar Clayton,UNLV,MWC,11,76,238,3.1,3,,,,,76,238,3.1,3,2009
Kawaun Jakes,Western Kentucky,Sun Belt,11,124,366,3.0,5,1,11,11.0,0,125,377,3.0,5,2009
Brian Maddox,South Carolina,SEC,13,102,307,3.0,6,17,135,7.9,2,119,442,3.7,8,2009
Grant Gregory,Kansas State,Big 12,11,106,308,2.9,3,0,0,,0,106,308,2.9,3,2009
Darriet Perry,Florida International,Sun Belt,10,103,301,2.9,3,17,137,8.1,0,120,438,3.7,3,2009
Tim Jefferson,Air Force,MWC,10,88,254,2.9,4,,,,,88,254,2.9,4,2009
Thomas Merriweather,Miami (OH),MAC,12,105,291,2.8,3,15,63,4.2,0,120,354,3.0,3,2009
Colt McCoy,Texas,Big 12,14,129,348,2.7,3,,,,,129,348,2.7,3,2009
Zac Robinson,Oklahoma State,Big 12,12,111,305,2.7,4,,,,,111,305,2.7,4,2009
Diondre Borel,Utah State,WAC,12,173,458,2.6,6,,,,,173,458,2.6,6,2009
G.J. Kinne,Tulsa,CUSA,12,151,393,2.6,5,,,,,151,393,2.6,5,2009
Austyn Carta-Samuels,Wyoming,MWC,13,142,366,2.6,3,1,30,30.0,1,143,396,2.8,4,2009
Chandler Harnish,Northern Illinois,MAC,10,89,229,2.6,2,,,,,89,229,2.6,2,2009
Russell Wilson,North Carolina State,ACC,12,103,260,2.5,4,,,,,103,260,2.5,4,2009
Larry Smith,Vanderbilt,SEC,9,85,213,2.5,2,,,,,85,213,2.5,2,2009
Daryll Clark,Penn State,Big Ten,13,84,211,2.5,7,,,,,84,211,2.5,7,2009
Mike Kafka,Northwestern,Big Ten,13,150,295,2.0,8,1,24,24.0,1,151,319,2.1,9,2009
Tate Forcier,Michigan,Big Ten,12,118,240,2.0,3,,,,,118,240,2.0,3,2009
Blaine Gabbert,Missouri,Big 12,13,103,204,2.0,3,1,-10,-10.0,0,104,194,1.9,3,2009
Zac Dysert,Miami (OH),MAC,11,149,258,1.7,5,,,,,149,258,1.7,5,2009
Zac Lee,Nebraska,Big 12,13,103,171,1.7,1,,,,,103,171,1.7,1,2009
Stephen Garcia,South Carolina,SEC,13,120,186,1.6,4,,,,,120,186,1.6,4,2009
Jordan Jefferson,LSU,SEC,12,112,171,1.5,1,,,,,112,171,1.5,1,2009
Jameel Sewell,Virginia,ACC,11,136,167,1.2,7,1,30,30.0,0,137,197,1.4,7,2009
Todd Reesing,Kansas,Big 12,12,104,119,1.1,6,1,14,14.0,0,105,133,1.3,6,2009
Ross Jenkins,Louisiana Tech,WAC,12,79,73,0.9,2,,,,,79,73,0.9,2,2009
Tyler Hansen,Colorado,Big 12,8,84,61,0.7,1,,,,,84,61,0.7,1,2009
Kevin Riley,California,Pac-10,13,82,51,0.6,1,,,,,82,51,0.6,1,2009
Thaddeus Lewis,Duke,ACC,12,86,48,0.6,4,,,,,86,48,0.6,4,2009
Chris Turner,Maryland,ACC,10,84,22,0.3,2,,,,,84,22,0.3,2,2009
Paul McCall,Florida International,Sun Belt,11,76,14,0.2,2,,,,,76,14,0.2,2,2009
Donovan Porterie,New Mexico,MWC,12,86,-33,-0.4,2,1,3,3.0,0,87,-30,-0.3,2,2009
Onterio McCalebb,Auburn,SEC,14,95,810,8.5,9,7,86,12.3,1,102,896,8.8,10,2010
Alex Green,Hawaii,WAC,14,146,1199,8.2,18,27,363,13.4,1,173,1562,9.0,19,2010
Allen Bradford,USC,Pac-10,12,110,794,7.2,5,3,74,24.7,1,113,868,7.7,6,2010
Colin Kaepernick,Nevada,WAC,14,173,1206,7.0,20,,,,,173,1206,7.0,20,2010
James White,Wisconsin,Big Ten,12,156,1052,6.7,14,11,88,8.0,0,167,1140,6.8,14,2010
Denard Robinson,Michigan,Big Ten,13,256,1702,6.6,14,,,,,256,1702,6.6,14,2010
Roy Helu Jr.,Nebraska,Big 12,14,188,1245,6.6,11,5,46,9.2,0,193,1291,6.7,11,2010
Isaiah Pead,Cincinnati,Big East,11,157,1029,6.6,6,26,190,7.3,1,183,1219,6.7,7,2010
Knile Davis,Arkansas,SEC,13,204,1322,6.5,13,19,136,7.2,1,223,1458,6.5,14,2010
Ed Wesley,TCU,MWC,13,166,1078,6.5,11,8,62,7.8,0,174,1140,6.6,11,2010
Kendrick Hardy,Southern Mississippi,CUSA,13,139,903,6.5,7,8,27,3.4,0,147,930,6.3,7,2010
Doug Martin,Boise State,WAC,13,201,1260,6.3,12,28,338,12.1,2,229,1598,7.0,14,2010
Adonis Thomas,Toledo,MAC,13,175,1098,6.3,8,31,372,12.0,2,206,1470,7.1,10,2010
Chris Thompson,Florida State,ACC,14,134,845,6.3,6,19,155,8.2,1,153,1000,6.5,7,2010
Trent Richardson,Alabama,SEC,11,112,700,6.3,6,23,266,11.6,4,135,966,7.2,10,2010
Jay Finley,Baylor,Big 12,13,195,1218,6.2,12,9,76,8.4,0,204,1294,6.3,12,2010
Ray Graham,Pitt,Big East,12,148,922,6.2,8,24,213,8.9,2,172,1135,6.6,10,2010
Dujuan Harris,Troy,Sun Belt,12,97,603,6.2,6,11,66,6.0,0,108,669,6.2,6,2010
Zach Line,SMU,CUSA,14,244,1494,6.1,10,17,163,9.6,0,261,1657,6.3,10,2010
Bilal Powell,Louisville,Big East,12,229,1405,6.1,11,18,158,8.8,3,247,1563,6.3,14,2010
Montee Ball,Wisconsin,Big Ten,12,163,996,6.1,18,16,128,8.0,0,179,1124,6.3,18,2010
Chandler Harnish,Northern Illinois,MAC,13,137,836,6.1,7,,,,,137,836,6.1,7,2010
Kenjon Barner,Oregon,Pac-10,11,91,551,6.1,6,13,121,9.3,2,104,672,6.5,8,2010
Mikel Leshoure,Illinois,Big Ten,13,281,1697,6.0,17,17,196,11.5,3,298,1893,6.4,20,2010
Michael Dyer,Auburn,SEC,14,182,1093,6.0,5,1,9,9.0,0,183,1102,6.0,5,2010
Brandon Bolden,Ole Miss,SEC,12,163,976,6.0,14,32,344,10.8,3,195,1320,6.8,17,2010
Taylor Martinez,Nebraska,Big 12,13,162,965,6.0,12,1,1,1.0,0,163,966,5.9,12,2010
Lamar Miller,Miami (FL),ACC,11,108,646,6.0,6,11,96,8.7,0,119,742,6.2,6,2010
Jeff Demps,Florida,SEC,11,92,551,6.0,3,18,116,6.4,0,110,667,6.1,3,2010
Warren Norman,Vanderbilt,SEC,8,77,459,6.0,4,11,110,10.0,0,88,569,6.5,4,2010
LaMichael James,Oregon,Pac-10,12,294,1731,5.9,21,17,208,12.2,3,311,1939,6.2,24,2010
Alexander Teich,Navy,Ind,13,147,863,5.9,5,7,86,12.3,2,154,949,6.2,7,2010
Deantre Lewis,Arizona State,Pac-10,11,92,539,5.9,4,23,370,16.1,2,115,909,7.9,6,2010
Waymon James,TCU,MWC,11,87,513,5.9,5,5,91,18.2,1,92,604,6.6,6,2010
Derrick Coleman,UCLA,Pac-10,11,82,487,5.9,5,3,3,1.0,0,85,490,5.8,5,2010
Ronnie Hillman,San Diego State,MWC,13,262,1532,5.8,17,9,68,7.6,1,271,1600,5.9,18,2010
Edwin Baker,Michigan State,Big Ten,13,207,1201,5.8,13,3,22,7.3,0,210,1223,5.8,13,2010
Phillip Tanner,Middle Tennessee State,Sun Belt,13,160,928,5.8,13,21,194,9.2,0,181,1122,6.2,13,2010
Da'Rel Scott,Maryland,ACC,13,122,708,5.8,5,14,170,12.1,3,136,878,6.5,8,2010
Andre Ellington,Clemson,ACC,9,118,686,5.8,10,12,109,9.1,1,130,795,6.1,11,2010
Vai Taua,Nevada,WAC,13,284,1610,5.7,19,18,226,12.6,3,302,1836,6.1,22,2010
Lance Dunbar,North Texas,Sun Belt,12,274,1553,5.7,13,28,332,11.9,3,302,1885,6.2,16,2010
Kendall Hunter,Oklahoma State,Big 12,13,271,1548,5.7,16,20,101,5.1,0,291,1649,5.7,16,2010
Cyrus Gray,Texas A&M,Big 12,13,200,1133,5.7,12,34,251,7.4,1,234,1384,5.9,13,2010
Asher Clark,Air Force,MWC,13,182,1031,5.7,5,4,7,1.8,0,186,1038,5.6,5,2010
Darren Evans,Virginia Tech,ACC,14,151,854,5.7,11,9,100,11.1,0,160,954,6.0,11,2010
Davin Meggett,Maryland,ACC,13,126,720,5.7,4,6,59,9.8,0,132,779,5.9,4,2010
Josh Harris,Wake Forest,ACC,11,126,720,5.7,7,8,69,8.6,0,134,789,5.9,7,2010
Latavius Murray,UCF,CUSA,14,111,637,5.7,11,5,47,9.4,1,116,684,5.9,12,2010
Joe Banyard,UTEP,CUSA,13,109,623,5.7,8,17,107,6.3,0,126,730,5.8,8,2010
Le'Veon Bell,Michigan State,Big Ten,13,107,605,5.7,8,11,97,8.8,0,118,702,5.9,8,2010
Cam Newton,Auburn,SEC,14,264,1473,5.6,20,2,42,21.0,1,266,1515,5.7,21,2010
Lennon Creer,Louisiana Tech,WAC,12,212,1181,5.6,10,25,181,7.2,0,237,1362,5.7,10,2010
Terrelle Pryor,Ohio State,Big Ten,13,135,754,5.6,4,2,19,9.5,1,137,773,5.6,5,2010
Darian Mallary,Florida International,Sun Belt,13,122,679,5.6,2,22,178,8.1,1,144,857,6.0,3,2010
Ladarius Perkins,Mississippi State,SEC,13,101,566,5.6,3,9,247,27.4,3,110,813,7.4,6,2010
Leonard Mason,Colorado State,MWC,12,92,513,5.6,5,5,31,6.2,0,97,544,5.6,5,2010
Kerwynn Williams,Utah State,WAC,12,81,451,5.6,4,12,110,9.2,0,93,561,6.0,4,2010
Anthony Allen,Georgia Tech,ACC,13,240,1316,5.5,7,3,88,29.3,1,243,1404,5.8,8,2010
Robbie Rouse,Fresno State,WAC,11,205,1129,5.5,8,15,131,8.7,2,220,1260,5.7,10,2010
Rex Burkhead,Nebraska,Big 12,14,172,951,5.5,7,15,148,9.9,0,187,1099,5.9,7,2010
Mark Ingram,Alabama,SEC,11,158,875,5.5,13,21,282,13.4,1,179,1157,6.5,14,2010
Jon Williams,East Carolina,CUSA,13,154,847,5.5,10,52,431,8.3,1,206,1278,6.2,11,2010
Johnny White,North Carolina,ACC,9,130,720,5.5,7,24,288,12.0,0,154,1008,6.5,7,2010
Marcus Coker,Iowa,Big Ten,7,114,622,5.5,3,2,23,11.5,0,116,645,5.6,3,2010
David Wilson,Virginia Tech,ACC,13,113,619,5.5,5,15,234,15.6,4,128,853,6.7,9,2010
Joseph Randle,Oklahoma State,Big 12,13,82,452,5.5,2,37,427,11.5,1,119,879,7.4,3,2010
Chris Polk,Washington,Pac-10,13,260,1415,5.4,9,22,180,8.2,0,282,1595,5.7,9,2010
Chad Spann,Northern Illinois,MAC,14,258,1388,5.4,22,9,45,5.0,0,267,1433,5.4,22,2010
John Clay,Wisconsin,Big Ten,11,187,1012,5.4,14,1,9,9.0,0,188,1021,5.4,14,2010
Pat Shed,UAB,CUSA,12,157,847,5.4,3,47,471,10.0,4,204,1318,6.5,7,2010
Shawn Southward,Troy,Sun Belt,13,115,623,5.4,7,19,190,10.0,2,134,813,6.1,9,2010
Daniel Thomas,Kansas State,Big 12,13,298,1585,5.3,19,27,171,6.3,0,325,1756,5.4,19,2010
Delone Carter,Syracuse,Big East,13,231,1233,5.3,9,8,45,5.6,0,239,1278,5.3,9,2010
Dan Herron,Ohio State,Big Ten,13,216,1155,5.3,16,19,180,9.5,0,235,1335,5.7,16,2010
Johnathan Franklin,UCLA,Pac-10,12,214,1127,5.3,8,10,63,6.3,0,224,1190,5.3,8,2010
Jared Hassin,Army,Ind,13,191,1013,5.3,9,12,154,12.8,0,203,1167,5.7,9,2010
Marc Tyler,USC,Pac-10,13,171,913,5.3,9,17,127,7.5,1,188,1040,5.5,10,2010
Derrick Locke,Kentucky,SEC,9,166,887,5.3,10,34,318,9.4,0,200,1205,6.0,10,2010
Bryce Beall,Houston,CUSA,12,163,870,5.3,12,12,90,7.5,0,175,960,5.5,12,2010
Eric Stephens,Texas Tech,Big 12,13,127,668,5.3,6,33,212,6.4,2,160,880,5.5,8,2010
Desmond Johnson,Southern Mississippi,CUSA,10,115,611,5.3,8,23,172,7.5,1,138,783,5.7,9,2010
Rob Henry,Purdue,Big Ten,11,104,547,5.3,4,1,11,11.0,0,105,558,5.3,4,2010
Vick Ballard,Mississippi State,SEC,12,186,968,5.2,19,10,106,10.6,1,196,1074,5.5,20,2010
Thomas Merriweather,Miami (OH),MAC,14,176,921,5.2,12,20,84,4.2,1,196,1005,5.1,13,2010
JJ Di Luigi,Brigham Young,MWC,13,178,917,5.2,8,45,443,9.8,1,223,1360,6.1,9,2010
Washaun Ealey,Georgia,SEC,12,157,811,5.2,11,8,85,10.6,0,165,896,5.4,11,2010
Tim Jefferson,Air Force,MWC,13,154,794,5.2,15,,,,,154,794,5.2,15,2010
Cameron Marshall,Arizona State,Pac-10,12,150,787,5.2,9,21,227,10.8,1,171,1014,5.9,10,2010
De'Vion Moore,Missouri,Big 12,13,99,517,5.2,8,3,7,2.3,0,102,524,5.1,8,2010
Jeremy Avery,Boise State,WAC,13,95,495,5.2,11,14,154,11.0,1,109,649,6.0,12,2010
Darron Thomas,Oregon,Pac-10,13,93,486,5.2,5,1,-4,-4.0,0,94,482,5.1,5,2010
Jordan Todman,Connecticut,Big East,12,334,1695,5.1,14,19,94,4.9,0,353,1789,5.1,14,2010
Shane Vereen,California,Pac-10,12,231,1167,5.1,13,22,209,9.5,3,253,1376,5.4,16,2010
Stepfan Taylor,Stanford,Pac-10,13,223,1137,5.1,15,28,266,9.5,1,251,1403,5.6,16,2010
Tauren Poole,Tennessee,SEC,13,204,1034,5.1,11,22,171,7.8,1,226,1205,5.3,12,2010
Matt Brown,Temple,MAC,12,162,830,5.1,7,16,70,4.4,0,178,900,5.1,7,2010
Cierre Wood,Notre Dame,Ind,13,119,603,5.1,3,20,170,8.5,2,139,773,5.6,5,2010
Joshua Quezada,Brigham Young,MWC,13,99,505,5.1,5,8,46,5.8,1,107,551,5.1,6,2010
Andy Dalton,TCU,MWC,13,86,435,5.1,6,,,,,86,435,5.1,6,2010
Orleans Darkwa,Tulane,CUSA,11,184,925,5.0,11,17,155,9.1,0,201,1080,5.4,11,2010
Christine Michael,Texas A&M,Big 12,8,126,631,5.0,4,13,174,13.4,0,139,805,5.8,4,2010
Carl Volny,Central Michigan,MAC,12,81,402,5.0,5,26,240,9.2,1,107,642,6.0,6,2010
Bobby Rainey,Western Kentucky,Sun Belt,12,340,1649,4.9,15,29,230,7.9,0,369,1879,5.1,15,2010
Evan Royster,Penn State,Big Ten,13,208,1014,4.9,6,25,202,8.1,1,233,1216,5.2,7,2010
Darriet Perry,Florida International,Sun Belt,13,170,839,4.9,16,12,137,11.4,0,182,976,5.4,16,2010
Shaun Draughn,North Carolina,ACC,12,129,637,4.9,6,13,62,4.8,0,142,699,4.9,6,2010
Antwon Bailey,Syracuse,Big East,13,114,554,4.9,2,35,306,8.7,3,149,860,5.8,5,2010
Andre Williams,Boston College,ACC,12,95,461,4.9,2,4,15,3.8,0,99,476,4.8,2,2010
Marcus Lattimore,South Carolina,SEC,13,249,1197,4.8,17,29,412,14.2,2,278,1609,5.8,19,2010
Dion Lewis,Pitt,Big East,12,219,1061,4.8,13,27,216,8.0,0,246,1277,5.2,13,2010
Ronnie Weaver,UCF,CUSA,14,186,890,4.8,11,4,29,7.3,0,190,919,4.8,11,2010
Eddie Wide,Utah,MWC,13,149,717,4.8,11,34,271,8.0,2,183,988,5.4,13,2010
Matthew Tucker,TCU,MWC,13,148,709,4.8,7,8,97,12.1,0,156,806,5.2,7,2010
Eric Williams,Ball State,MAC,11,127,613,4.8,5,6,108,18.0,2,133,721,5.4,7,2010
Armando Allen,Notre Dame,Ind,8,107,514,4.8,2,17,138,8.1,0,124,652,5.3,2,2010
Derek Lawson,Arkansas State,Sun Belt,12,105,500,4.8,4,15,154,10.3,1,120,654,5.5,5,2010
Jason Ford,Illinois,Big Ten,12,99,480,4.8,7,7,52,7.4,0,106,532,5.0,7,2010
Alexander Robinson,Iowa State,Big 12,12,202,946,4.7,9,26,201,7.7,1,228,1147,5.0,10,2010
Damien Berry,Miami (FL),ACC,12,190,899,4.7,5,10,97,9.7,1,200,996,5.0,6,2010
Alex Allen,Akron,MAC,12,186,877,4.7,8,17,115,6.8,0,203,992,4.9,8,2010
Nathan Scheelhaase,Illinois,Big Ten,13,185,868,4.7,5,1,23,23.0,0,186,891,4.8,5,2010
Keith Payne,Virginia,ACC,11,160,749,4.7,14,12,131,10.9,2,172,880,5.1,16,2010
Bernard Pierce,Temple,MAC,10,154,728,4.7,10,8,87,10.9,1,162,815,5.0,11,2010
Keola Antolin,Arizona,Pac-10,13,143,668,4.7,7,28,204,7.3,2,171,872,5.1,9,2010
Perry Jones,Virginia,ACC,12,137,646,4.7,1,31,224,7.2,1,168,870,5.2,2,2010
Jared Tew,Air Force,MWC,8,128,599,4.7,4,,,,,128,599,4.7,4,2010
Patrick Mealy,Army,Ind,11,101,470,4.7,2,4,45,11.3,0,105,515,4.9,2,2010
Montel Harris,Boston College,ACC,12,269,1243,4.6,8,18,112,6.2,1,287,1355,4.7,9,2010
Jacquizz Rodgers,Oregon State,Pac-10,12,256,1184,4.6,14,44,287,6.5,3,300,1471,4.9,17,2010
Stevan Ridley,LSU,SEC,13,249,1147,4.6,15,11,61,5.5,0,260,1208,4.6,15,2010
Adam Robinson,Iowa,Big Ten,10,203,941,4.6,10,24,290,12.1,1,227,1231,5.4,11,2010
Baron Batch,Texas Tech,Big 12,13,177,816,4.6,5,32,226,7.1,3,209,1042,5.0,8,2010
Paris Cotton,Central Michigan,MAC,11,142,651,4.6,6,25,245,9.8,0,167,896,5.4,6,2010
Mike Trumpy,Northwestern,Big Ten,11,116,530,4.6,4,20,182,9.1,0,136,712,5.2,4,2010
Nathan Walker,Air Force,MWC,13,103,470,4.6,6,,,,,103,470,4.6,6,2010
Anthony Wilkerson,Stanford,Pac-10,13,89,408,4.6,3,3,47,15.7,0,92,455,4.9,3,2010
Alex Singleton,Tulsa,CUSA,13,87,399,4.6,11,3,21,7.0,0,90,420,4.7,11,2010
Jeremy Deering,Rutgers,Big East,12,77,352,4.6,2,16,338,21.1,1,93,690,7.4,3,2010
Rodney Stewart,Colorado,Big 12,12,290,1318,4.5,10,29,290,10.0,0,319,1608,5.0,10,2010
Noel Devine,West Virginia,Big East,13,208,934,4.5,6,34,258,7.6,1,242,1192,4.9,7,2010
Sam McGuffie,Rice,CUSA,12,197,883,4.5,6,39,384,9.8,3,236,1267,5.4,9,2010
Moise Plancher,South Florida,Big East,13,176,793,4.5,5,15,99,6.6,0,191,892,4.7,5,2010
Matt Asiata,Utah,MWC,13,155,695,4.5,8,32,195,6.1,1,187,890,4.8,9,2010
Tyrod Taylor,Virginia Tech,ACC,14,146,659,4.5,5,,,,,146,659,4.5,5,2010
Mustafa Greene,North Carolina State,ACC,13,134,597,4.5,4,30,272,9.1,2,164,869,5.3,6,2010
Jeremiah Masoli,Ole Miss,SEC,12,121,544,4.5,6,1,7,7.0,0,122,551,4.5,6,2010
Demetris Murray,South Florida,Big East,11,121,542,4.5,4,11,153,13.9,2,132,695,5.3,6,2010
Nic Grigsby,Arizona,Pac-10,12,118,533,4.5,8,25,189,7.6,1,143,722,5.0,9,2010
Dan Dierking,Purdue,Big Ten,12,117,529,4.5,3,20,173,8.7,2,137,702,5.1,5,2010
Giavanni Ruffin,East Carolina,CUSA,13,85,384,4.5,2,25,157,6.3,1,110,541,4.9,3,2010
Jyruss Edwards,Louisiana-Monroe,Sun Belt,12,84,375,4.5,4,14,70,5.0,0,98,445,4.5,4,2010
James Sims,Kansas,Big 12,11,168,742,4.4,9,19,134,7.1,1,187,876,4.7,10,2010
Josh Nesbitt,Georgia Tech,ACC,9,166,737,4.4,10,0,0,,0,166,737,4.4,10,2010
Vincent Smith,Michigan,Big Ten,13,136,601,4.4,5,15,130,8.7,2,151,731,4.8,7,2010
Cody Johnson,Texas,Big 12,11,134,592,4.4,6,4,49,12.3,0,138,641,4.6,6,2010
Desmond Scott,Duke,ACC,12,120,530,4.4,3,34,266,7.8,0,154,796,5.2,3,2010
Tevin Washington,Georgia Tech,ACC,8,116,514,4.4,4,,,,,116,514,4.4,4,2010
Jordan Thomas,Rutgers,Big East,12,95,417,4.4,1,16,223,13.9,2,111,640,5.8,3,2010
Fozzy Whittaker,Texas,Big 12,11,80,351,4.4,2,34,217,6.4,0,114,568,5.0,2,2010
Demarco Murray,Oklahoma,Big 12,14,282,1214,4.3,15,71,594,8.4,5,353,1808,5.1,20,2010
Alex Gillett,Eastern Michigan,MAC,12,179,766,4.3,5,,,,,179,766,4.3,5,2010
Dwayne Priest,Eastern Michigan,MAC,9,168,716,4.3,8,4,21,5.3,0,172,737,4.3,8,2010
Gregory Ray,Memphis,CUSA,12,157,676,4.3,3,17,173,10.2,1,174,849,4.9,4,2010
Robert Griffin III,Baylor,Big 12,13,149,635,4.3,8,1,9,9.0,0,150,644,4.3,8,2010
Duane Bennett,Minnesota,Big Ten,12,123,529,4.3,3,33,319,9.7,1,156,848,5.4,4,2010
Ryan Williams,Virginia Tech,ACC,10,110,477,4.3,9,10,109,10.9,1,120,586,4.9,10,2010
Nate Burney,Akron,MAC,12,109,467,4.3,0,7,33,4.7,0,116,500,4.3,0,2010
Princeton McCarty,Idaho,WAC,10,89,380,4.3,3,15,116,7.7,0,104,496,4.8,3,2010
Albert Williams,Tulane,CUSA,11,86,370,4.3,1,9,40,4.4,0,95,410,4.3,1,2010
Alvester Alexander,Wyoming,MWC,12,189,792,4.2,14,15,134,8.9,0,204,926,4.5,14,2010
Michael Hayes,Houston,CUSA,12,150,629,4.2,8,30,327,10.9,2,180,956,5.3,10,2010
Daniel Borne,UAB,CUSA,12,76,321,4.2,4,11,134,12.2,1,87,455,5.2,5,2010
Alfred Morris,Florida Atlantic,Sun Belt,12,227,928,4.1,7,8,47,5.9,1,235,975,4.1,8,2010
Derrvin Speight,Utah State,WAC,12,189,779,4.1,8,12,135,11.3,0,201,914,4.5,8,2010
Chris Anderson,Troy,Sun Belt,13,94,388,4.1,3,19,119,6.3,1,113,507,4.5,4,2010
Enrique Davis,Ole Miss,SEC,8,82,337,4.1,3,1,16,16.0,0,83,353,4.3,3,2010
Brandon Connette,Duke,ACC,12,78,321,4.1,8,,,,,78,321,4.1,8,2010
Vince Davidson,Ohio,MAC,13,138,549,4.0,6,8,110,13.8,1,146,659,4.5,7,2010
Jerrell Rhodes,Memphis,CUSA,10,116,469,4.0,1,11,68,6.2,1,127,537,4.2,2,2010
Kenny Turner,New Mexico State,WAC,10,115,461,4.0,2,25,203,8.1,0,140,664,4.7,2,2010
Tracy Woods,Miami (OH),MAC,14,94,376,4.0,1,18,151,8.4,0,112,527,4.7,1,2010
Kennard Reeves,Vanderbilt,SEC,11,76,306,4.0,0,4,35,8.8,0,80,341,4.3,0,2010
Jamie Harper,Clemson,ACC,13,197,760,3.9,7,35,328,9.4,3,232,1088,4.7,10,2010
Bryan Kariya,Brigham Young,MWC,13,137,537,3.9,6,21,122,5.8,0,158,659,4.2,6,2010
James Montgomery,Washington State,Pac-10,11,122,478,3.9,5,11,70,6.4,0,133,548,4.1,5,2010
Deonte Jackson,Idaho,WAC,13,113,442,3.9,4,25,211,8.4,1,138,653,4.7,5,2010
Jeremiah Harden,Florida International,Sun Belt,7,83,327,3.9,1,13,59,4.5,1,96,386,4.0,2,2010
Dean Haynes,North Carolina State,ACC,10,83,320,3.9,3,13,118,9.1,1,96,438,4.6,4,2010
Tim Cornett,UNLV,MWC,13,144,546,3.8,6,13,98,7.5,2,157,644,4.1,8,2010
Dwight Dasher,Middle Tennessee State,Sun Belt,9,142,543,3.8,8,,,,,142,543,3.8,8,2010
Seth Smith,New Mexico State,WAC,12,101,385,3.8,3,5,29,5.8,0,106,414,3.9,3,2010
Garrett Gilbert,Texas,Big 12,12,100,380,3.8,5,,,,,100,380,3.8,5,2010
Trent Steelman,Army,Ind,13,197,721,3.7,11,,,,,197,721,3.7,11,2010
Chris Relf,Mississippi State,SEC,13,194,713,3.7,5,,,,,194,713,3.7,5,2010
Jeff Godfrey,UCF,CUSA,14,152,566,3.7,10,0,0,,0,152,566,3.7,10,2010
Jordan Jefferson,LSU,SEC,13,123,450,3.7,7,,,,,123,450,3.7,7,2010
Ricky Dobbs,Navy,Ind,12,266,967,3.6,14,,,,,266,967,3.6,14,2010
Willie Geter,Bowling Green State,MAC,12,197,718,3.6,6,31,236,7.6,1,228,954,4.2,7,2010
De'Leon Eskridge,Minnesota,Big Ten,12,193,698,3.6,7,4,37,9.3,0,197,735,3.7,7,2010
