Player,School,Conf,G,Rec,Yds,Avg,TD,Att_R,Yds_R,Avg_R,TD_R,Plays_S,Yds_S,Avg_S,TD_S,Year
Kofi Hughes,Indiana,Big Ten,11,43,639,14.9,3,,,,,43,639,14.9,3,2012
Justin Collins,Western Michigan,MAC,10,27,401,14.9,5,,,,,27,401,14.9,5,2012
Cobi Hamilton,Arkansas,SEC,12,90,1335,14.8,5,,,,,90,1335,14.8,5,2012
Justin Hunter,Tennessee,SEC,12,73,1083,14.8,9,,,,,73,1083,14.8,9,2012
Donte Moncrief,Ole Miss,SEC,13,66,979,14.8,10,,,,,66,979,14.8,10,2012
Je'Ron Hamm,Louisiana-Monroe,Sun Belt,13,62,915,14.8,6,,,,,62,915,14.8,6,2012
Chris Harper,Kansas State,Big 12,13,58,857,14.8,3,0,-7,,0,58,850,14.7,3,2012
Chuck Jacobs,Utah State,WAC,13,41,608,14.8,5,3,-7,-2.3,0,44,601,13.7,5,2012
Johnathan Coleman,Boston College,ACC,12,33,489,14.8,4,2,2,1.0,0,35,491,14.0,4,2012
Josh Lenz,Iowa State,Big 12,10,31,459,14.8,6,,,,,31,459,14.8,6,2012
Shane Ros,Houston,CUSA,11,23,337,14.7,3,2,3,1.5,0,25,340,13.6,3,2012
Marqise Lee,USC,Pac-12,13,118,1721,14.6,14,13,106,8.2,0,131,1827,13.9,14,2012
Shaquelle Evans,UCLA,Pac-12,14,60,877,14.6,3,2,6,3.0,0,62,883,14.2,3,2012
Nick Adams,UAB,CUSA,12,45,656,14.6,2,,,,,45,656,14.6,2,2012
Rashawn Scott,Miami (FL),ACC,9,35,512,14.6,3,,,,,35,512,14.6,3,2012
Phillip Dorsett,Miami (FL),ACC,12,58,842,14.5,4,5,8,1.6,0,63,850,13.5,4,2012
Jordan Taylor,Rice,CUSA,13,57,826,14.5,3,3,23,7.7,0,60,849,14.2,3,2012
Tobias Palmer,North Carolina State,ACC,13,54,781,14.5,6,7,60,8.6,0,61,841,13.8,6,2012
Evans Okotcha,UTSA,WAC,12,24,349,14.5,3,106,450,4.2,8,130,799,6.1,11,2012
Martel Moore,Northern Illinois,MAC,14,75,1083,14.4,13,,,,,75,1083,14.4,13,2012
Dri Archer,Kent State,MAC,14,39,561,14.4,4,159,1429,9.0,16,198,1990,10.1,20,2012
Jalen Claiborne,Wyoming,MWC,12,34,490,14.4,5,1,-7,-7.0,0,35,483,13.8,5,2012
Malcolm Mitchell,Georgia,SEC,13,40,572,14.3,4,5,17,3.4,0,45,589,13.1,4,2012
Ladarius Brown,TCU,Big 12,13,27,385,14.3,5,,,,,27,385,14.3,5,2012
Stedman Bailey,West Virginia,Big 12,13,114,1622,14.2,25,2,13,6.5,0,116,1635,14.1,25,2012
Tramaine Thompson,Kansas State,Big 12,13,37,526,14.2,4,3,0,0.0,0,40,526,13.2,4,2012
Jordan Matthews,Vanderbilt,SEC,13,94,1323,14.1,8,3,61,20.3,1,97,1384,14.3,9,2012
Jamison Crowder,Duke,ACC,13,76,1074,14.1,8,3,13,4.3,0,79,1087,13.8,8,2012
Kemonte Bateman,New Mexico State,WAC,12,50,707,14.1,5,,,,,50,707,14.1,5,2012
Bryan Underwood,North Carolina State,ACC,13,44,620,14.1,10,1,10,10.0,0,45,630,14.0,10,2012
Daniel Spencer,Houston,CUSA,10,41,579,14.1,3,1,5,5.0,0,42,584,13.9,3,2012
Garrett Hoskins,Eastern Michigan,MAC,12,38,537,14.1,3,,,,,38,537,14.1,3,2012
Brandon Felder,Penn State,Big Ten,12,31,437,14.1,1,,,,,31,437,14.1,1,2012
Dorial Green-Beckham,Missouri,SEC,11,28,395,14.1,5,5,16,3.2,0,33,411,12.5,5,2012
Devante Davis,UNLV,MWC,13,61,854,14.0,4,,,,,61,854,14.0,4,2012
D.J. Foster,Arizona State,Pac-12,13,38,533,14.0,4,102,493,4.8,2,140,1026,7.3,6,2012
Drew Terrell,Stanford,Pac-12,14,33,463,14.0,4,,,,,33,463,14.0,4,2012
Kam Jones,UTSA,WAC,12,23,323,14.0,1,28,174,6.2,0,51,497,9.7,1,2012
Geremy Davis,Connecticut,Big East,12,44,613,13.9,1,,,,,44,613,13.9,1,2012
Jordan James,Tulsa,CUSA,14,41,568,13.9,2,,,,,41,568,13.9,2,2012
Sean Tapley,North Carolina,ACC,12,26,361,13.9,5,2,0,0.0,0,28,361,12.9,5,2012
Anthony Amos,Middle Tennessee State,Sun Belt,12,72,992,13.8,9,,,,,72,992,13.8,9,2012
Marcus Sales,Syracuse,Big East,13,64,882,13.8,8,1,0,0.0,0,65,882,13.6,8,2012
Joseph Fauria,UCLA,Pac-12,14,46,637,13.8,12,,,,,46,637,13.8,12,2012
Sterling Shepard,Oklahoma,Big 12,13,45,621,13.8,3,2,19,9.5,0,47,640,13.6,3,2012
Rodney Smith,Florida State,ACC,14,38,524,13.8,3,,,,,38,524,13.8,3,2012
Jerry Johnson,UCLA,Pac-12,13,31,428,13.8,1,,,,,31,428,13.8,1,2012
Jerrod Dillard,Akron,MAC,11,29,401,13.8,9,,,,,29,401,13.8,9,2012
Justin Jones,East Carolina,CUSA,13,25,346,13.8,3,,,,,25,346,13.8,3,2012
Randall Mackey,Ole Miss,SEC,13,25,346,13.8,1,79,325,4.1,4,104,671,6.5,5,2012
Markus Wheaton,Oregon State,Pac-12,13,91,1244,13.7,11,20,142,7.1,2,111,1386,12.5,13,2012
Tyler Eifert,Notre Dame,Ind,13,50,685,13.7,4,,,,,50,685,13.7,4,2012
Jarrod West,Syracuse,Big East,13,43,588,13.7,2,,,,,43,588,13.7,2,2012
Ivan Delgado,North Texas,Sun Belt,11,42,570,13.6,0,,,,,42,570,13.6,0,2012
Dominic Rufran,Wyoming,MWC,12,39,529,13.6,5,,,,,39,529,13.6,5,2012
Austin Hays,Oklahoma State,Big 12,10,29,394,13.6,2,,,,,29,394,13.6,2,2012
Larry McDuffey,Houston,CUSA,9,28,382,13.6,4,2,-1,-0.5,0,30,381,12.7,4,2012
Christion Jones,Alabama,SEC,14,27,368,13.6,4,2,6,3.0,0,29,374,12.9,4,2012
Mike Evans,Texas A&M,SEC,13,82,1105,13.5,5,,,,,82,1105,13.5,5,2012
Josh Boyce,TCU,Big 12,13,66,891,13.5,7,3,6,2.0,1,69,897,13.0,8,2012
J.J. Worton,UCF,CUSA,14,44,594,13.5,5,1,15,15.0,0,45,609,13.5,5,2012
Arceto Clark,Mississippi State,SEC,13,36,487,13.5,1,,,,,36,487,13.5,1,2012
Jaquon Robinson,Troy,Sun Belt,12,30,405,13.5,3,,,,,30,405,13.5,3,2012
Darnell Smith,North Texas,Sun Belt,11,28,379,13.5,2,,,,,28,379,13.5,2,2012
Quinton Patton,Louisiana Tech,WAC,12,104,1392,13.4,13,1,-5,-5.0,0,105,1387,13.2,13,2012
Devin Street,Pitt,Big East,13,73,975,13.4,5,3,30,10.0,0,76,1005,13.2,5,2012
Jalen Saunders,Oklahoma,Big 12,9,62,829,13.4,3,0,0,,0,62,829,13.4,3,2012
Skye Dawson,TCU,Big 12,12,34,455,13.4,1,11,46,4.2,0,45,501,11.1,1,2012
Terrence Mitchell,South Florida,Big East,11,31,414,13.4,1,2,4,2.0,0,33,418,12.7,1,2012
E.J. Scott,Virginia,ACC,12,29,390,13.4,3,,,,,29,390,13.4,3,2012
Jake McGee,Virginia,ACC,12,28,374,13.4,5,,,,,28,374,13.4,5,2012
Kadron Boone,LSU,SEC,13,26,348,13.4,4,,,,,26,348,13.4,4,2012
Chris Gallon,Bowling Green State,MAC,13,54,720,13.3,6,,,,,54,720,13.3,6,2012
Zach Sudfeld,Nevada,MWC,13,45,598,13.3,8,0,0,,1,45,598,13.3,9,2012
Mark Harrison,Rutgers,Big East,13,44,583,13.3,6,,,,,44,583,13.3,6,2012
Josh Schaffer,Western Michigan,MAC,11,43,570,13.3,3,1,66,66.0,0,44,636,14.5,3,2012
Chris Harper,California,Pac-12,12,41,544,13.3,2,3,5,1.7,1,44,549,12.5,3,2012
Bobby Ratliff,Washington State,Pac-12,11,30,399,13.3,0,,,,,30,399,13.3,0,2012
Marquise Law,Colorado State,MWC,12,29,387,13.3,2,,,,,29,387,13.3,2,2012
Allen Robinson,Penn State,Big Ten,12,77,1018,13.2,11,,,,,77,1018,13.2,11,2012
Dion Sims,Michigan State,Big Ten,12,36,475,13.2,2,,,,,36,475,13.2,2,2012
D.J. Banks,Louisiana Tech,WAC,12,33,434,13.2,2,0,0,,0,33,434,13.2,2,2012
Tracy Lampley,Southern Mississippi,CUSA,12,25,330,13.2,0,5,-8,-1.6,0,30,322,10.7,0,2012
Michael Smith,Connecticut,Big East,12,31,407,13.1,1,1,3,3.0,0,32,410,12.8,1,2012
Greg Dent,Florida State,ACC,14,27,355,13.1,2,1,1,1.0,0,28,356,12.7,2,2012
Jacob Pedersen,Wisconsin,Big Ten,14,27,355,13.1,4,1,10,10.0,0,28,365,13.0,4,2012
Marquise Goodwin,Texas,Big 12,13,26,340,13.1,3,13,140,10.8,3,39,480,12.3,6,2012
Alan Cross,Memphis,CUSA,12,23,301,13.1,5,2,0,0.0,0,25,301,12.0,5,2012
Zach Ertz,Stanford,Pac-12,14,69,898,13.0,6,,,,,69,898,13.0,6,2012
Rashad Greene,Florida State,ACC,14,57,741,13.0,6,4,30,7.5,1,61,771,12.6,7,2012
T.J. Jones,Notre Dame,Ind,13,50,649,13.0,4,1,8,8.0,0,51,657,12.9,4,2012
Der'Rikk Thompson,SMU,CUSA,13,41,535,13.0,4,,,,,41,535,13.0,4,2012
Jamal Turner,Nebraska,Big Ten,14,32,417,13.0,3,4,1,0.3,0,36,418,11.6,3,2012
Victor Dean,Fresno State,MWC,9,30,389,13.0,2,,,,,30,389,13.0,2,2012
Davante Adams,Fresno State,MWC,13,102,1312,12.9,14,,,,,102,1312,12.9,14,2012
Willie Snead,Ball State,MAC,13,89,1148,12.9,9,,,,,89,1148,12.9,9,2012
Willie McNeal,Western Kentucky,Sun Belt,13,43,556,12.9,6,3,5,1.7,0,46,561,12.2,6,2012
Gavin Escobar,San Diego State,MWC,13,42,543,12.9,6,2,7,3.5,0,44,550,12.5,6,2012
Vince Sanders,Ole Miss,SEC,13,39,504,12.9,4,,,,,39,504,12.9,4,2012
Wes Saxton,South Alabama,Sun Belt,13,26,336,12.9,1,,,,,26,336,12.9,1,2012
Eric Ward,Texas Tech,Big 12,12,82,1053,12.8,12,2,6,3.0,0,84,1059,12.6,12,2012
Nick Harwell,Miami (OH),MAC,9,68,870,12.8,8,3,3,1.0,0,71,873,12.3,8,2012
Harry Peoples,Louisiana,Sun Belt,12,64,817,12.8,5,14,72,5.1,1,78,889,11.4,6,2012
Myles White,Louisiana Tech,WAC,12,56,718,12.8,6,,,,,56,718,12.8,6,2012
Chandler Jones,San Jose State,WAC,13,54,691,12.8,11,5,67,13.4,0,59,758,12.8,11,2012
Bennie Fowler,Michigan State,Big Ten,13,41,524,12.8,4,3,14,4.7,0,44,538,12.2,4,2012
Billy Ray Stutzmann,Hawaii,MWC,10,35,447,12.8,0,,,,,35,447,12.8,0,2012
Tyler McCulloch,Colorado,Pac-12,12,34,436,12.8,2,,,,,34,436,12.8,2,2012
Hunter Lee,Louisiana Tech,WAC,12,31,398,12.8,2,31,162,5.2,3,62,560,9.0,5,2012
Ryan Swope,Texas A&M,SEC,13,72,913,12.7,8,1,-2,-2.0,0,73,911,12.5,8,2012
Quinshad Davis,North Carolina,ACC,12,61,776,12.7,5,,,,,61,776,12.7,5,2012
Dan Buckner,Arizona,Pac-12,13,61,773,12.7,5,0,0,,0,61,773,12.7,5,2012
Terence Davis,Wake Forest,ACC,11,43,544,12.7,2,2,0,0.0,0,45,544,12.1,2,2012
Ryan Lankford,Illinois,Big Ten,11,37,469,12.7,5,5,7,1.4,0,42,476,11.3,5,2012
Vance McDonald,Rice,CUSA,10,36,458,12.7,2,3,20,6.7,0,39,478,12.3,2,2012
Byron Hankerson,Florida Atlantic,Sun Belt,12,27,344,12.7,2,,,,,27,344,12.7,2,2012
Ernst Brun,Iowa State,Big 12,13,26,330,12.7,6,,,,,26,330,12.7,6,2012
Bernard Reedy,Toledo,MAC,13,88,1113,12.6,6,13,63,4.8,0,101,1176,11.6,6,2012
Justin Hardy,East Carolina,CUSA,13,88,1105,12.6,11,,,,,88,1105,12.6,11,2012
Conner Vernon,Duke,ACC,13,85,1074,12.6,8,3,-2,-0.7,0,88,1072,12.2,8,2012
Keyarris Garrett,Tulsa,CUSA,14,67,845,12.6,9,,,,,67,845,12.6,9,2012
Damian Copeland,Louisville,Big East,13,50,628,12.6,2,1,3,3.0,0,51,631,12.4,2,2012
Kyle Carter,Penn State,Big Ten,9,36,453,12.6,2,,,,,36,453,12.6,2,2012
Connor Hamlett,Oregon State,Pac-12,13,32,403,12.6,3,,,,,32,403,12.6,3,2012
Aaron Burbridge,Michigan State,Big Ten,10,29,364,12.6,2,1,4,4.0,0,30,368,12.3,2,2012
Cody Hoffman,Brigham Young,Ind,13,100,1248,12.5,11,,,,,100,1248,12.5,11,2012
Richy Turner,Nevada,MWC,13,60,752,12.5,3,1,27,27.0,0,61,779,12.8,3,2012
Jaxon Shipley,Texas,Big 12,13,59,737,12.5,6,8,53,6.6,0,67,790,11.8,6,2012
Dominique Terrell,Virginia,ACC,12,38,475,12.5,0,,,,,38,475,12.5,0,2012
_ Phillips,Connecticut,Big East,,32,399,12.5,1,0,0,,0,32,399,12.5,1,2012
Shakim Phillips,Connecticut,Big East,12,32,399,12.5,1,,,,,32,399,12.5,1,2012
Quincy McDuffie,UCF,CUSA,14,28,350,12.5,3,19,170,8.9,3,47,520,11.1,6,2012
Donte Moore,Rice,CUSA,13,26,326,12.5,4,1,9,9.0,1,27,335,12.4,5,2012
Sammy Watkins,Clemson,ACC,10,57,708,12.4,3,14,97,6.9,1,71,805,11.3,4,2012
Lanear Sampson,Baylor,Big 12,13,52,646,12.4,6,,,,,52,646,12.4,6,2012
Jordan Reed,Florida,SEC,13,45,559,12.4,3,,,,,45,559,12.4,3,2012
Andy Erickson,Texas State,WAC,11,39,482,12.4,3,1,1,1.0,0,40,483,12.1,3,2012
Keenan Holman,SMU,CUSA,12,25,311,12.4,2,,,,,25,311,12.4,2,2012
Austin Seferian-Jenkins,Washington,Pac-12,13,69,852,12.3,7,,,,,69,852,12.3,7,2012
Darius Johnson,SMU,CUSA,11,64,787,12.3,5,,,,,64,787,12.3,5,2012
Keith Mumphery,Michigan State,Big Ten,13,42,515,12.3,1,6,38,6.3,0,48,553,11.5,1,2012
Luke Swift,Miami (OH),MAC,11,25,307,12.3,1,4,4,1.0,0,29,311,10.7,1,2012
Matt Lehman,Penn State,Big Ten,12,24,296,12.3,3,,,,,24,296,12.3,3,2012
Chris Coyle,Arizona State,Pac-12,13,57,696,12.2,5,,,,,57,696,12.2,5,2012
Levi Norwood,Baylor,Big 12,13,40,487,12.2,1,3,20,6.7,1,43,507,11.8,2,2012
Charles Lovett,Colorado State,MWC,12,35,428,12.2,2,4,-1,-0.3,0,39,427,10.9,2,2012
Ralph David Abernathy IV,Cincinnati,Big East,13,28,341,12.2,4,69,366,5.3,3,97,707,7.3,7,2012
Brandon Wimberly,Nevada,MWC,13,70,845,12.1,4,4,8,2.0,0,74,853,11.5,4,2012
Keenan Allen,California,Pac-12,9,61,737,12.1,6,3,39,13.0,1,64,776,12.1,7,2012
Eric Thomas,Troy,Sun Belt,12,55,667,12.1,7,,,,,55,667,12.1,7,2012
Keenan Davis,Iowa,Big Ten,12,47,571,12.1,1,,,,,47,571,12.1,1,2012
Deontay Greenberry,Houston,CUSA,12,47,569,12.1,3,,,,,47,569,12.1,3,2012
Xavier Rush,Tulane,CUSA,12,43,520,12.1,5,,,,,43,520,12.1,5,2012
Dyrell Roberts,Virginia Tech,ACC,13,33,398,12.1,1,9,74,8.2,0,42,472,11.2,1,2012
Jalen Fitzpatrick,Temple,Big East,11,30,363,12.1,2,15,34,2.3,0,45,397,8.8,2,2012
Josh Boyle,Kent State,MAC,14,28,338,12.1,3,3,16,5.3,0,31,354,11.4,3,2012
Josh Stewart,Oklahoma State,Big 12,13,101,1210,12.0,7,8,120,15.0,1,109,1330,12.2,8,2012
Justin Brown,Oklahoma,Big 12,13,73,879,12.0,5,0,0,,0,73,879,12.0,5,2012
Marcus Sullivan,UNLV,MWC,13,55,659,12.0,4,6,35,5.8,0,61,694,11.4,4,2012
Chris Smith,Mississippi State,SEC,13,47,564,12.0,2,,,,,47,564,12.0,2,2012
Brandon Ford,Clemson,ACC,13,40,480,12.0,8,,,,,40,480,12.0,8,2012
Jay Davis,UAB,CUSA,11,23,277,12.0,2,,,,,23,277,12.0,2,2012
Aaron Dobson,Marshall,CUSA,10,57,679,11.9,3,,,,,57,679,11.9,3,2012
Kivon Cartwright,Colorado State,MWC,12,26,310,11.9,3,1,8,8.0,1,27,318,11.8,4,2012
Jaime Wilson,Western Michigan,MAC,10,67,792,11.8,6,1,2,2.0,0,68,794,11.7,6,2012
Darius Jennings,Virginia,ACC,12,48,568,11.8,5,3,43,14.3,0,51,611,12.0,5,2012
Chandler Worthy,Troy,Sun Belt,12,46,544,11.8,2,11,79,7.2,0,57,623,10.9,2,2012
Ace Sanders,South Carolina,SEC,13,45,531,11.8,9,3,1,0.3,0,48,532,11.1,9,2012
Kyle Griswould,Middle Tennessee State,Sun Belt,12,45,531,11.8,3,8,6,0.8,1,53,537,10.1,4,2012
Christian Jones,Northwestern,Big Ten,13,35,412,11.8,2,,,,,35,412,11.8,2,2012
Kenny Stills,Oklahoma,Big 12,13,82,959,11.7,11,2,22,11.0,0,84,981,11.7,11,2012
Matt Miller,Boise State,MWC,13,66,769,11.7,5,,,,,66,769,11.7,5,2012
Jahrie Level,Idaho,WAC,12,46,538,11.7,2,2,7,3.5,0,48,545,11.4,2,2012
Keith Sconiers,Akron,MAC,12,41,479,11.7,1,,,,,41,479,11.7,1,2012
Antonio Andrews,Western Kentucky,Sun Belt,13,37,432,11.7,3,304,1728,5.7,11,341,2160,6.3,14,2012
Jamaal Williams,Brigham Young,Ind,13,27,315,11.7,1,166,775,4.7,12,193,1090,5.6,13,2012
Bobby Swigert,Boston College,ACC,7,23,268,11.7,1,2,17,8.5,0,25,285,11.4,1,2012
Andre Davis,South Florida,Big East,12,46,534,11.6,6,,,,,46,534,11.6,6,2012
Tony Jones,Northwestern,Big Ten,13,29,335,11.6,4,1,14,14.0,0,30,349,11.6,4,2012
Chris McNeill,Wyoming,MWC,11,63,722,11.5,5,,,,,63,722,11.5,5,2012
Tim Wright,Rutgers,Big East,13,39,449,11.5,2,,,,,39,449,11.5,2,2012
Mike James,Miami (FL),ACC,12,30,344,11.5,3,147,621,4.2,6,177,965,5.5,9,2012
Jawan Jamison,Rutgers,Big East,13,28,323,11.5,2,255,1075,4.2,4,283,1398,4.9,6,2012
Marc Edwards,Tulane,CUSA,11,23,264,11.5,1,,,,,23,264,11.5,1,2012
Kasen Williams,Washington,Pac-12,13,77,878,11.4,6,,,,,77,878,11.4,6,2012
Cody Wilson,Central Michigan,MAC,13,74,845,11.4,3,6,19,3.2,0,80,864,10.8,3,2012
Josh Jarboe,Arkansas State,Sun Belt,13,50,570,11.4,4,6,12,2.0,0,56,582,10.4,4,2012
Gabe Marks,Washington State,Pac-12,12,49,560,11.4,2,1,-3,-3.0,0,50,557,11.1,2,2012
Jereme Jones,South Alabama,Sun Belt,13,45,513,11.4,7,1,4,4.0,0,46,517,11.2,7,2012
Ja-Mes Logan,Ole Miss,SEC,13,43,490,11.4,1,2,16,8.0,2,45,506,11.2,3,2012
Alex Bayer,Bowling Green State,MAC,13,36,410,11.4,3,,,,,36,410,11.4,3,2012
Andrew Buie,West Virginia,Big 12,13,28,318,11.4,0,179,851,4.8,7,207,1169,5.6,7,2012
Tavon Austin,West Virginia,Big 12,13,114,1289,11.3,12,72,643,8.9,3,186,1932,10.4,15,2012
Deion Walker,Massachusetts,MAC,11,59,667,11.3,3,,,,,59,667,11.3,3,2012
Kenneth Scott,Utah,Pac-12,12,32,360,11.3,3,,,,,32,360,11.3,3,2012
Thomas Johnson,Texas A&M,SEC,9,30,339,11.3,1,1,33,33.0,0,31,372,12.0,1,2012
Chase Harper,Texas State,WAC,12,28,315,11.3,3,,,,,28,315,11.3,3,2012
Darrin Moore,Texas Tech,Big 12,12,92,1032,11.2,13,,,,,92,1032,11.2,13,2012
Mike Scott,Idaho,WAC,12,60,671,11.2,4,1,1,1.0,0,61,672,11.0,4,2012
Corey Brown,Ohio State,Big Ten,12,60,669,11.2,3,11,96,8.7,1,71,765,10.8,4,2012
Donte Foster,Ohio,MAC,12,59,659,11.2,8,,,,,59,659,11.2,8,2012
Antavian Edison,Purdue,Big Ten,13,58,652,11.2,8,12,29,2.4,0,70,681,9.7,8,2012
Dewayne Peace,Houston,CUSA,9,54,603,11.2,2,1,2,2.0,0,55,605,11.0,2,2012
Sam McGuffie,Rice,CUSA,13,54,603,11.2,5,5,16,3.2,0,59,619,10.5,5,2012
Tommylee Lewis,Northern Illinois,MAC,14,48,539,11.2,5,19,111,5.8,1,67,650,9.7,6,2012
Marcus Rucker,Memphis,CUSA,12,47,525,11.2,3,2,8,4.0,0,49,533,10.9,3,2012
Quincy Enunwa,Nebraska,Big Ten,14,42,470,11.2,1,,,,,42,470,11.2,1,2012
Trey Millard,Oklahoma,Big 12,13,30,337,11.2,4,33,198,6.0,0,63,535,8.5,4,2012
Allen Hurns,Miami (FL),ACC,11,28,314,11.2,4,,,,,28,314,11.2,4,2012
Robert Woods,USC,Pac-12,13,76,846,11.1,11,1,76,76.0,0,77,922,12.0,11,2012
Marcus Lucas,Missouri,SEC,12,46,509,11.1,3,,,,,46,509,11.1,3,2012
Beckett Wales,Syracuse,Big East,13,35,389,11.1,2,,,,,35,389,11.1,2,2012
Nick Williams,Connecticut,Big East,12,30,334,11.1,0,10,40,4.0,1,40,374,9.4,1,2012
Steve Marck,Miami (OH),MAC,12,27,299,11.1,0,,,,,27,299,11.1,0,2012
Kevonte Martin-Manley,Iowa,Big Ten,12,52,571,11.0,2,1,15,15.0,0,53,586,11.1,2,2012
Najee Lovett,Idaho,WAC,12,50,548,11.0,6,2,9,4.5,0,52,557,10.7,6,2012
Eli Rogers,Louisville,Big East,13,46,505,11.0,4,,,,,46,505,11.0,4,2012
Jeff Godfrey,UCF,CUSA,14,39,429,11.0,3,12,70,5.8,0,51,499,9.8,3,2012
Perez Ashford,Northern Illinois,MAC,9,34,373,11.0,1,,,,,34,373,11.0,1,2012
Malcome Kennedy,Texas A&M,SEC,13,26,285,11.0,2,1,7,7.0,0,27,292,10.8,2,2012
Tavarese Maye,Louisiana-Monroe,Sun Belt,13,56,612,10.9,4,6,45,7.5,0,62,657,10.6,4,2012
Erik Highsmith,North Carolina,ACC,12,54,587,10.9,5,2,51,25.5,1,56,638,11.4,6,2012
Ted Bolser,Indiana,Big Ten,12,41,445,10.9,3,,,,,41,445,10.9,3,2012
Tony Lippett,Michigan State,Big Ten,13,36,392,10.9,2,2,0,0.0,0,38,392,10.3,2,2012
Xavier Grimble,USC,Pac-12,13,29,316,10.9,5,,,,,29,316,10.9,5,2012
Cameron Webb,Utah State,WAC,13,25,273,10.9,1,,,,,25,273,10.9,1,2012
Brent Leonard,Louisiana-Monroe,Sun Belt,13,104,1118,10.8,10,4,21,5.3,0,108,1139,10.5,10,2012
Marquelo Suel,Akron,MAC,12,76,820,10.8,5,,,,,76,820,10.8,5,2012
Keiwone Malone,Memphis,CUSA,12,44,476,10.8,3,2,4,2.0,0,46,480,10.4,3,2012
Rob Blanchflower,Massachusetts,MAC,10,43,464,10.8,2,,,,,43,464,10.8,2,2012
Chris Young,Iowa State,Big 12,13,38,411,10.8,2,,,,,38,411,10.8,2,2012
Mario Carter,North Carolina State,ACC,13,34,367,10.8,2,,,,,34,367,10.8,2,2012
Antavious Wilson,Marshall,CUSA,12,69,741,10.7,9,,,,,69,741,10.7,9,2012
Jack Doyle,Western Kentucky,Sun Belt,13,53,566,10.7,5,1,0,0.0,0,54,566,10.5,5,2012
Gator Hoskins,Marshall,CUSA,11,35,374,10.7,10,,,,,35,374,10.7,10,2012
Sherman Ragland III,Wake Forest,ACC,11,23,247,10.7,0,1,0,0.0,0,24,247,10.3,0,2012
L.T. Smith,Akron,MAC,12,48,509,10.6,3,,,,,48,509,10.6,3,2012
Quinton Dunbar,Florida,SEC,13,36,383,10.6,4,,,,,36,383,10.6,4,2012
Jake Murphy,Utah,Pac-12,12,33,349,10.6,4,1,4,4.0,0,34,353,10.4,4,2012
Demarco Robinson,Kentucky,SEC,12,28,297,10.6,0,5,24,4.8,0,33,321,9.7,0,2012
J.D. Woods,West Virginia,Big 12,13,61,637,10.4,4,1,16,16.0,0,62,653,10.5,4,2012
Giovani Bernard,North Carolina,ACC,10,47,490,10.4,5,184,1228,6.7,12,231,1718,7.4,17,2012
Aaron Bradley,Nevada,MWC,13,45,467,10.4,4,2,22,11.0,0,47,489,10.4,4,2012
Alan Williams,Massachusetts,MAC,10,42,438,10.4,4,1,1,1.0,0,43,439,10.2,4,2012
Isiah Myers,Washington State,Pac-12,9,42,438,10.4,4,,,,,42,438,10.4,4,2012
Marion Grice,Arizona State,Pac-12,13,41,425,10.4,8,103,679,6.6,11,144,1104,7.7,19,2012
Colby Harper,Louisiana-Monroe,Sun Belt,8,29,303,10.4,2,,,,,29,303,10.4,2,2012
Tommy Shuler,Marshall,CUSA,12,110,1138,10.3,6,,,,,110,1138,10.3,6,2012
Jabari Carr,San Jose State,WAC,12,62,639,10.3,4,,,,,62,639,10.3,4,2012
Daniel McKinney,Florida Atlantic,Sun Belt,12,48,492,10.3,2,4,9,2.3,0,52,501,9.6,2,2012
Stephen Houston,Indiana,Big Ten,12,37,381,10.3,4,161,749,4.7,12,198,1130,5.7,16,2012
Andrew Bodenheimer,East Carolina,CUSA,13,36,371,10.3,3,,,,,36,371,10.3,3,2012
Theo Riddick,Notre Dame,Ind,13,36,370,10.3,2,190,917,4.8,5,226,1287,5.7,7,2012
Brandon Miller,Wyoming,MWC,12,30,309,10.3,2,84,352,4.2,1,114,661,5.8,3,2012
Kaneakua Friel,Brigham Young,Ind,13,30,308,10.3,5,,,,,30,308,10.3,5,2012
David Richards,Arizona,Pac-12,12,29,298,10.3,3,,,,,29,298,10.3,3,2012
Dan Vitale,Northwestern,Big Ten,13,28,288,10.3,2,1,2,2.0,0,29,290,10.0,2,2012
Steven Manfro,UCLA,Pac-12,13,28,287,10.3,1,8,70,8.8,2,36,357,9.9,3,2012
Korvic Neat,Ole Miss,SEC,10,25,257,10.3,0,2,34,17.0,0,27,291,10.8,0,2012
Jamill Smith,Ball State,MAC,13,69,706,10.2,6,8,55,6.9,0,77,761,9.9,6,2012
Jarvis Landry,LSU,SEC,13,56,573,10.2,5,,,,,56,573,10.2,5,2012
La'Rod King,Kentucky,SEC,12,48,488,10.2,4,,,,,48,488,10.2,4,2012
Kirby Moore,Boise State,MWC,13,36,368,10.2,1,,,,,36,368,10.2,1,2012
Chris Potter,Boise State,MWC,13,34,347,10.2,4,7,23,3.3,1,41,370,9.0,5,2012
Kennard Backman,UAB,CUSA,12,23,235,10.2,4,,,,,23,235,10.2,4,2012
Jeremy Johnson,SMU,CUSA,13,67,679,10.1,3,,,,,67,679,10.1,3,2012
Desmond Scott,Duke,ACC,13,66,666,10.1,2,,,,,66,666,10.1,2,2012
Nelson Spruce,Colorado,Pac-12,12,44,446,10.1,3,,,,,44,446,10.1,3,2012
Charles Sims,Houston,CUSA,9,37,373,10.1,3,142,851,6.0,11,179,1224,6.8,14,2012
Jamal Miles,Arizona State,Pac-12,12,37,373,10.1,0,15,67,4.5,0,52,440,8.5,0,2012
