Player,School,Conf,G,Rec,Yds,Avg,TD,Att_R,Yds_R,Avg_R,TD_R,Plays_S,Yds_S,Avg_S,TD_S,Year
Jaylen Hall,Western Michigan,MAC,5,12,323,26.9,7,0,0,,0,12,323,26.9,7,2020
Lavel Davis,Virginia,ACC,8,20,515,25.8,5,0,0,,0,20,515,25.8,5,2020
Bryce Mitchell,Toledo,MAC,6,13,306,23.5,4,0,0,,0,13,306,23.5,4,2020
D'Wayne Eskridge,Western Michigan,MAC,6,34,784,23.1,8,1,27,27.0,0,35,811,23.2,8,2020
Quentin Johnston,TCU,Big 12,9,22,487,22.1,2,3,3,1.0,2,25,490,19.6,4,2020
Reggie Roberson Jr.,SMU,American,5,22,474,21.5,5,0,0,,0,22,474,21.5,5,2020
C.J. Johnson,East Carolina,American,9,19,405,21.3,6,0,0,,0,19,405,21.3,6,2020
Jaylen Waddle,Alabama,SEC,6,28,591,21.1,4,3,12,4.0,0,31,603,19.5,4,2020
Austin Trammell,Rice,CUSA,3,16,335,20.9,6,0,0,,0,16,335,20.9,6,2020
Deonte Simpson,North Texas,CUSA,8,25,517,20.7,4,0,-4,,0,25,513,20.5,4,2020
Isiah Cox,Ohio,MAC,3,7,142,20.3,1,1,28,28.0,0,8,170,21.3,1,2020
Dallas Dixon,Central Michigan,MAC,4,13,263,20.2,1,0,0,,0,13,263,20.2,1,2020
Donavon Greene,Wake Forest,ACC,8,29,582,20.1,2,0,0,,0,29,582,20.1,2,2020
Dyami Brown,North Carolina,ACC,11,55,1099,20.0,8,0,0,,0,55,1099,20.0,8,2020
Isaiah Likely,Coastal Carolina,Sun Belt,11,30,601,20.0,5,0,0,,0,30,601,20.0,5,2020
Greg Dulcich,UCLA,Pac-12,7,26,517,19.9,5,0,0,,0,26,517,19.9,5,2020
Trevor Wilson,Buffalo,MAC,7,16,319,19.9,3,0,0,,0,16,319,19.9,3,2020
Jalen Nailor,Michigan State,Big Ten,7,26,515,19.8,4,2,11,5.5,0,28,526,18.8,4,2020
Gunner Romney,Brigham Young,Ind,10,39,767,19.7,2,6,15,2.5,1,45,782,17.4,3,2020
Jack Sorenson,Miami (OH),MAC,3,18,354,19.7,4,0,0,,0,18,354,19.7,4,2020
Ryan O'Keefe,UCF,American,10,20,391,19.6,3,0,0,,0,20,391,19.6,3,2020
Ty Fryfogle,Indiana,Big Ten,8,37,721,19.5,7,0,0,,0,37,721,19.5,7,2020
Chris Autman-Bell,Minnesota,Big Ten,7,22,430,19.5,1,0,0,,0,22,430,19.5,1,2020
Dez Fitzpatrick,Louisville,ACC,11,43,833,19.4,3,0,0,,0,43,833,19.4,3,2020
Kenny Yeboah,Ole Miss,SEC,8,27,524,19.4,6,0,0,,0,27,524,19.4,6,2020
Michael Woods,Arkansas,SEC,10,32,619,19.3,5,1,2,2.0,0,33,621,18.8,5,2020
Devon Williams,Oregon,Pac-12,6,15,286,19.1,2,0,0,,0,15,286,19.1,2,2020
Jacob Copeland,Florida,SEC,11,23,435,18.9,3,1,17,17.0,0,24,452,18.8,3,2020
Brycen Tremayne,Stanford,Pac-12,6,14,265,18.9,0,0,0,,0,14,265,18.9,0,2020
