Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att_R,Yds_R,Avg_R,TD_R,Year
Tim Tebow,Florida,SEC,13,234,350,66.9,3286,9.4,10.4,32,6,172.5,210,895,4.3,23,2007
Paul Smith,Tulsa,CUSA,14,327,544,60.1,5065,9.3,9.5,47,19,159.8,105,119,1.1,13,2007
Sam Bradford,Oklahoma,Big 12,14,237,341,69.5,3121,9.2,10.2,36,8,176.5,31,7,0.2,0,2007
Mike Teel,Rutgers,Big East,13,203,349,58.2,3147,9.0,8.5,20,13,145.4,10,-49,-4.9,0,2007
Colin Kaepernick,Nevada,WAC,11,133,247,53.8,2175,8.8,9.8,19,3,150.8,105,593,5.6,6,2007
Colt Brennan,Hawaii,WAC,12,359,510,70.4,4343,8.5,8.5,38,17,159.8,82,27,0.3,8,2007
Brian Brohm,Louisville,Big East,12,308,473,65.1,4024,8.5,8.6,30,12,152.4,57,-46,-0.8,3,2007
Zac Robinson,Oklahoma State,Big 12,13,201,333,60.4,2824,8.5,8.6,23,9,149.0,140,847,6.1,9,2007
Caleb Hanie,Colorado State,MWC,12,188,293,64.2,2455,8.4,7.3,18,15,144.6,92,6,0.1,2,2007
Dennis Dixon,Oregon,Pac-10,10,172,254,67.7,2136,8.4,9.3,20,4,161.2,105,583,5.6,9,2007
Case Keenum,Houston,CUSA,13,187,273,68.5,2259,8.3,7.7,14,10,147.6,103,412,4.0,9,2007
Ben Mauk,Cincinnati,Big East,12,235,386,60.9,3121,8.1,8.6,31,9,150.6,99,377,3.8,3,2007
Chris Turner,Maryland,ACC,11,153,241,63.5,1958,8.1,7.4,7,7,135.5,44,-26,-0.6,0,2007
Graham Harrell,Texas Tech,Big 12,13,512,713,71.8,5705,8.0,8.5,48,14,157.3,38,-91,-2.4,4,2007
Rudy Carpenter,Arizona State,Pac-10,13,246,398,61.8,3202,8.0,8.2,25,10,145.1,93,-205,-2.2,0,2007
Todd Boeckman,Ohio State,Big Ten,13,191,299,63.9,2379,8.0,7.5,25,14,148.9,56,63,1.1,0,2007
Pat White,West Virginia,Big East,13,144,216,66.7,1724,8.0,8.4,14,4,151.4,197,1335,6.8,14,2007
Taylor Tharp,Boise State,WAC,13,289,423,68.3,3340,7.9,8.1,30,11,152.9,62,68,1.1,1,2007
Bernard Morris,Marshall,CUSA,12,253,398,63.6,3149,7.9,7.6,17,10,139.1,130,488,3.8,4,2007
Tom Brandstater,Fresno State,WAC,13,211,337,62.6,2654,7.9,8.1,15,5,140.5,48,118,2.5,3,2007
Max Hall,Brigham Young,MWC,13,298,496,60.1,3848,7.8,7.7,26,12,137.7,52,14,0.3,1,2007
Todd Reesing,Kansas,Big 12,13,276,446,61.9,3486,7.8,8.6,33,7,148.8,92,197,2.1,3,2007
Colt McCoy,Texas,Big 12,13,276,424,65.1,3303,7.8,6.9,22,18,139.2,114,492,4.3,4,2007
Tyler Donovan,Wisconsin,Big Ten,13,193,333,58.0,2607,7.8,7.4,17,11,134.0,112,277,2.5,5,2007
Rusty Smith,Florida Atlantic,Sun Belt,13,281,479,58.7,3688,7.7,8.2,32,9,141.6,39,-116,-3.0,2,2007
Nate Davis,Ball State,MAC,13,270,478,56.5,3667,7.7,8.4,30,6,139.1,78,235,3.0,5,2007
Chase Daniel,Missouri,Big 12,14,384,563,68.2,4306,7.6,7.9,33,11,147.9,109,253,2.3,4,2007
Alex Brink,Washington State,Pac-10,12,305,503,60.6,3818,7.6,7.3,26,15,135.5,63,34,0.5,0,2007
Trevor Vittatoe,UTEP,CUSA,12,224,407,55.0,3101,7.6,8.1,25,7,135.9,42,-132,-3.1,0,2007
Adam Tafralis,San Jose State,WAC,12,251,400,62.8,3022,7.6,7.2,18,11,135.6,76,181,2.4,2,2007
Sean Glennon,Virginia Tech,ACC,13,143,235,60.9,1796,7.6,7.7,12,5,137.6,66,-43,-0.7,1,2007
Brad Bower,Ohio,MAC,11,127,232,54.7,1766,7.6,6.6,11,10,125.7,67,-7,-0.1,1,2007
Martin Hankins,Memphis,CUSA,11,261,428,61.0,3220,7.5,7.4,25,12,137.8,35,-1,0.0,0,2007
Sam Keller,Nebraska,Big 12,9,205,325,63.1,2422,7.5,6.9,14,10,133.7,25,-78,-3.1,0,2007
Andrew Robinson,Syracuse,Big East,11,154,292,52.7,2192,7.5,7.3,13,7,125.7,95,-39,-0.4,0,2007
Shaun Carney,Air Force,MWC,13,125,201,62.2,1491,7.4,7.2,9,5,134.3,135,637,4.7,6,2007
T.J. Yates,North Carolina,ACC,12,218,365,59.7,2655,7.3,5.8,14,18,123.6,73,-123,-1.7,2,2007
Matthew Stafford,Georgia,SEC,13,194,348,55.7,2523,7.3,7.0,19,10,128.9,39,-18,-0.5,2,2007
Kyle Israel,UCF,CUSA,14,174,298,58.4,2173,7.3,6.6,15,11,128.9,90,178,2.0,5,2007
Andre Woodson,Kentucky,SEC,13,327,518,63.1,3709,7.2,7.7,40,11,144.5,69,-193,-2.8,3,2007
Tim Hiller,Western Michigan,MAC,12,267,421,63.4,3021,7.2,6.5,20,15,132.2,50,-69,-1.4,2,2007
Donovan Porterie,New Mexico,MWC,13,244,418,58.4,3006,7.2,6.9,15,9,126.3,58,-34,-0.6,0,2007
Brian Hoyer,Michigan State,Big Ten,13,223,376,59.3,2725,7.2,7.0,20,11,131.9,47,-105,-2.2,1,2007
Kyle Wright,Miami (FL),ACC,10,141,241,58.5,1747,7.2,5.6,12,14,124.2,87,66,0.8,3,2007
Chase Holbrook,New Mexico State,WAC,12,381,543,70.2,3866,7.1,6.6,26,18,139.1,55,5,0.1,2,2007
Justin Willis,SMU,CUSA,12,242,414,58.5,2944,7.1,6.4,25,18,129.4,180,699,3.9,3,2007
Aaron Opelt,Toledo,MAC,9,144,249,57.8,1756,7.1,6.8,12,7,127.4,46,156,3.4,4,2007
Willie Tuitama,Arizona,Pac-10,12,327,524,62.4,3683,7.0,7.1,28,12,134.5,54,-163,-3.0,3,2007
C.J. Bacher,Northwestern,Big Ten,12,318,521,61.0,3656,7.0,6.1,19,19,124.7,86,31,0.4,4,2007
Kevin O'Connell,San Diego State,MWC,12,257,439,58.5,3063,7.0,6.8,15,8,124.8,135,408,3.0,11,2007
Chad Henne,Michigan,Big Ten,10,162,278,58.3,1938,7.0,6.7,17,9,130.5,24,-120,-5.0,0,2007
Matt Ryan,Boston College,ACC,14,388,654,59.3,4507,6.9,6.5,31,19,127.0,68,2,0.0,2,2007
Tyler Sheehan,Bowling Green State,MAC,13,303,476,63.7,3264,6.9,6.8,23,11,132.6,93,148,1.6,3,2007
Kellen Lewis,Indiana,Big Ten,13,265,442,60.0,3043,6.9,7.1,28,10,134.2,147,736,5.0,9,2007
Cullen Harper,Clemson,ACC,13,282,433,65.1,2991,6.9,7.5,27,6,141.0,71,-89,-1.3,3,2007
John David Booty,USC,Pac-10,10,215,340,63.2,2361,6.9,7.0,23,10,138.0,23,-106,-4.6,1,2007
Curtis Painter,Purdue,Big Ten,13,356,569,62.6,3846,6.8,6.9,29,11,132.3,53,-20,-0.4,3,2007
Erik Ainge,Tennessee,SEC,14,325,519,62.6,3522,6.8,7.1,31,10,135.5,16,-32,-2.0,0,2007
Matt Grothe,South Florida,Big East,13,232,392,59.2,2670,6.8,5.9,14,14,121.0,198,872,4.4,10,2007
Drew Willy,Buffalo,MAC,12,258,377,68.4,2572,6.8,6.9,15,6,135.7,60,-44,-0.7,2,2007
Thaddeus Lewis,Duke,ACC,12,199,360,55.3,2430,6.8,6.7,21,10,125.7,96,-148,-1.5,2,2007
Tyler Lorenzen,Connecticut,Big East,13,197,347,56.8,2367,6.8,6.8,13,6,123.0,133,328,2.5,1,2007
Riley Skinner,Wake Forest,ACC,11,236,326,72.4,2204,6.8,5.7,12,13,133.4,61,32,0.5,1,2007
Brian Johnson,Utah,MWC,11,181,272,66.5,1847,6.8,5.9,11,10,129.6,85,150,1.8,2,2007
Leon Jackson III,Utah State,WAC,12,151,231,65.4,1576,6.8,6.8,9,4,132.1,142,338,2.4,6,2007
Anthony Scelfo,Tulane,CUSA,12,111,205,54.1,1396,6.8,5.9,6,7,114.2,57,171,3.0,1,2007
Patrick Pinkney,East Carolina,CUSA,13,121,200,60.5,1358,6.8,7.0,11,4,131.7,79,306,3.9,1,2007
Dan Lefevour,Central Michigan,MAC,14,355,543,65.4,3652,6.7,6.6,27,13,133.5,188,1122,6.0,19,2007
Josh Freeman,Kansas State,Big 12,12,316,499,63.3,3353,6.7,6.4,18,11,127.3,53,-40,-0.8,4,2007
Nate Longshore,California,Pac-10,12,230,384,59.9,2580,6.7,6.0,16,13,123.3,19,-44,-2.3,1,2007
Matt Flynn,LSU,SEC,12,202,359,56.3,2407,6.7,6.5,21,11,125.8,100,215,2.2,4,2007
Seth Adams,Ole Miss,SEC,11,163,297,54.9,1979,6.7,5.0,12,16,113.4,47,-27,-0.6,1,2007
Chase Clement,Rice,CUSA,12,300,508,59.1,3377,6.6,6.4,29,16,127.4,144,535,3.7,8,2007
Anthony Morelli,Penn State,Big Ten,13,234,402,58.2,2651,6.6,6.4,19,10,124.2,48,-13,-0.3,0,2007
Andy Dalton,TCU,MWC,13,222,371,59.8,2459,6.6,5.8,10,11,118.5,98,232,2.4,5,2007
Brandon Cox,Auburn,SEC,13,188,316,59.5,2080,6.6,5.3,9,13,116.0,47,-96,-2.0,2,2007
Dan Nicholson,Northern Illinois,MAC,9,151,248,60.9,1633,6.6,4.8,9,14,116.9,21,-66,-3.1,0,2007
Cody Hawkins,Colorado,Big 12,13,263,463,56.8,3015,6.5,5.8,22,17,119.8,41,-19,-0.5,3,2007
Taylor Bennett,Georgia Tech,ACC,13,162,327,49.5,2136,6.5,5.7,7,9,106.0,44,-13,-0.3,4,2007
Juice Williams,Illinois,Big Ten,13,153,267,57.3,1743,6.5,5.5,13,12,119.2,165,755,4.6,7,2007
Casey Dick,Arkansas,SEC,13,150,262,57.3,1695,6.5,6.1,18,10,126.6,11,-77,-7.0,0,2007
Jeremy Young,Southern Mississippi,CUSA,10,120,224,53.6,1464,6.5,5.9,11,8,117.5,81,349,4.3,4,2007
Adam Weber,Minnesota,Big Ten,12,258,449,57.5,2895,6.4,5.6,24,19,120.8,146,617,4.2,5,2007
Daniel Raudabaugh,Miami (OH),MAC,11,209,382,54.7,2431,6.4,5.6,12,12,112.3,38,27,0.7,0,2007
Corey Leonard,Arkansas State,Sun Belt,11,182,349,52.1,2235,6.4,5.4,16,15,112.5,171,547,3.2,5,2007
Drew Weatherford,Florida State,ACC,11,181,318,56.9,2049,6.4,6.6,9,3,118.5,62,112,1.8,3,2007
Omar Haugabook,Troy,Sun Belt,12,291,475,61.3,2975,6.3,5.6,18,15,120.1,156,616,3.9,11,2007
Stephen McGee,Texas A&M,Big 12,13,211,364,58.0,2311,6.3,6.0,12,8,117.8,181,899,5.0,5,2007
Jake Locker,Washington,Pac-10,12,155,328,47.3,2062,6.3,5.1,14,15,105.0,172,986,5.7,13,2007
Travis Dixon,UNLV,MWC,12,159,299,53.2,1873,6.3,5.6,8,8,109.3,132,324,2.5,2,2007
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,174,294,59.2,1866,6.3,5.7,13,10,120.3,107,398,3.7,1,2007
Andy Schmitt,Eastern Michigan,MAC,11,164,255,64.3,1613,6.3,6.4,14,6,130.9,67,279,4.2,6,2007
John Parker Wilson,Alabama,SEC,13,255,462,55.2,2846,6.2,5.8,18,12,114.6,81,104,1.3,5,2007
Blake Szymanski,Baylor,Big 12,11,264,461,57.3,2844,6.2,5.4,22,18,117.0,61,98,1.6,1,2007
Giovanni Vizza,North Texas,Sun Belt,10,223,383,58.2,2388,6.2,4.8,17,20,114.8,133,299,2.2,2,2007
Carson Williams,Army,Ind,12,151,287,52.6,1770,6.2,5.1,11,12,108.7,37,-123,-3.3,0,2007
Jake Christensen,Iowa,Big Ten,12,198,370,53.5,2269,6.1,6.3,17,6,116.9,99,0,0.0,1,2007
Jameel Sewell,Virginia,ACC,13,214,364,58.8,2176,6.0,5.5,12,9,114.9,126,279,2.2,4,2007
Daniel Evans,North Carolina State,ACC,12,194,339,57.2,2030,6.0,5.0,12,13,111.5,35,-119,-3.4,1,2007
Nathan Enderle,Idaho,WAC,10,132,298,44.3,1787,6.0,3.9,10,18,93.7,52,-75,-1.4,1,2007
Pat Bostick,Pitt,Big East,10,155,252,61.5,1500,6.0,4.3,8,13,111.7,25,-131,-5.2,2,2007
Chris Jacquemain,Akron,MAC,11,154,275,56.0,1623,5.9,5.1,11,10,111.5,48,-44,-0.9,0,2007
Sam Hunt,UAB,CUSA,12,155,331,46.8,1905,5.8,4.5,10,14,96.7,68,287,4.2,2,2007
Sean Canfield,Oregon State,Pac-10,11,165,286,57.7,1661,5.8,4.1,9,15,106.4,36,-115,-3.2,0,2007
Michael Desormeaux,Louisiana,Sun Belt,11,133,242,55.0,1405,5.8,4.8,10,10,109.1,188,1141,6.1,7,2007
Tavita Pritchard,Stanford,Pac-10,9,97,194,50.0,1114,5.7,4.2,5,9,97.5,66,45,0.7,0,2007
Mackenzi Adams,Vanderbilt,SEC,12,101,182,55.5,1043,5.7,5.2,9,6,113.4,87,289,3.3,3,2007
Zac Champion,Louisiana Tech,WAC,12,227,395,57.5,2221,5.6,5.1,13,10,110.5,88,-24,-0.3,1,2007
Bret Meyer,Iowa State,Big 12,12,233,382,61.0,2151,5.6,4.6,9,13,109.3,95,292,3.1,3,2007
Karsten Sween,Wyoming,MWC,12,215,359,59.9,2028,5.6,4.2,12,17,108.9,69,-121,-1.8,0,2007
Wesley Carroll,Mississippi State,SEC,13,134,255,52.5,1392,5.5,4.9,9,7,104.6,47,67,1.4,0,2007
Wayne Younger,Florida International,Sun Belt,11,121,265,45.7,1357,5.1,2.9,9,17,87.1,127,536,4.2,2,2007
Jimmy Clausen,Notre Dame,Ind,10,138,245,56.3,1254,5.1,4.6,7,6,103.9,62,-187,-3.0,2,2007
David Johnson,Tulsa,CUSA,14,258,400,64.5,4059,10.1,10.4,46,18,178.7,92,186,2.0,3,2008
Sam Bradford,Oklahoma,Big 12,14,328,483,67.9,4720,9.8,11.1,50,8,180.8,42,47,1.1,5,2008
Zac Robinson,Oklahoma State,Big 12,13,204,314,65.0,3064,9.8,9.9,25,10,166.8,146,562,3.8,8,2008
Tim Tebow,Florida,SEC,14,192,298,64.4,2746,9.2,10.6,30,4,172.4,176,673,3.8,12,2008
Nate Davis,Ball State,MAC,14,258,401,64.3,3591,9.0,9.4,26,8,157.0,66,312,4.7,5,2008
Matthew Stafford,Georgia,SEC,13,235,383,61.4,3459,9.0,9.2,25,10,153.5,55,40,0.7,1,2008
Colt McCoy,Texas,Big 12,13,332,433,76.7,3859,8.9,9.7,34,8,173.8,136,561,4.1,11,2008
Mark Sanchez,USC,Pac-10,13,241,366,65.8,3207,8.8,9.4,34,10,164.6,52,16,0.3,3,2008
Kellen Moore,Boise State,WAC,13,281,405,69.4,3486,8.6,8.7,25,10,157.1,38,-30,-0.8,1,2008
Mike Teel,Rutgers,Big East,13,243,396,61.4,3418,8.6,8.4,25,13,148.1,24,-73,-3.0,2,2008
Case Keenum,Houston,CUSA,13,397,589,67.4,5020,8.5,9.2,44,11,159.9,76,221,2.9,7,2008
Joe Ganz,Nebraska,Big 12,13,285,420,67.9,3568,8.5,8.5,25,11,153.6,92,258,2.8,5,2008
Chase Clement,Rice,CUSA,13,326,490,66.5,4119,8.4,9.6,44,7,163.9,154,693,4.5,12,2008
Jevan Snead,Ole Miss,SEC,13,184,327,56.3,2762,8.4,8.2,26,13,145.5,57,60,1.1,3,2008
Max Hall,Brigham Young,MWC,13,330,477,69.2,3957,8.3,8.4,35,14,157.2,65,115,1.8,4,2008
Juice Williams,Illinois,Big Ten,12,219,381,57.5,3173,8.3,7.6,22,16,138.1,175,719,4.1,5,2008
Adam Dimichele,Temple,MAC,9,134,231,58.0,1911,8.3,8.7,18,6,148.0,61,91,1.5,3,2008
Graham Harrell,Texas Tech,Big 12,13,442,626,70.6,5111,8.2,9.0,45,9,160.0,41,-15,-0.4,6,2008
Chase Daniel,Missouri,Big 12,14,385,528,72.9,4335,8.2,8.2,39,18,159.4,69,281,4.1,1,2008
Daryll Clark,Penn State,Big Ten,13,192,321,59.8,2592,8.1,8.4,19,6,143.4,79,282,3.6,10,2008
Todd Reesing,Kansas,Big 12,13,329,495,66.5,3888,7.9,8.0,32,13,148.5,126,224,1.8,4,2008
Trevor Vittatoe,UTEP,CUSA,12,246,418,58.9,3274,7.8,8.4,33,9,146.4,45,-31,-0.7,1,2008
Robert Griffin III,Baylor,Big 12,12,160,267,59.9,2091,7.8,8.4,15,3,142.0,173,843,4.9,13,2008
Willie Tuitama,Arizona,Pac-10,13,259,399,64.9,3088,7.7,8.0,23,8,144.9,49,-120,-2.4,2,2008
Josh Freeman,Kansas State,Big 12,12,224,382,58.6,2945,7.7,7.8,20,8,136.5,107,404,3.8,14,2008
Billy Farris,Colorado State,MWC,13,233,379,61.5,2934,7.7,7.2,19,13,136.2,46,-34,-0.7,0,2008
Matt Grothe,South Florida,Big East,13,240,380,63.2,2911,7.7,7.0,18,14,135.8,146,591,4.0,4,2008
Boo Jackson,Ohio,MAC,12,185,306,60.5,2355,7.7,7.2,19,12,137.8,100,333,3.3,2,2008
Corey Leonard,Arkansas State,Sun Belt,12,166,306,54.2,2347,7.7,7.5,16,8,130.7,157,516,3.3,4,2008
Ricky Stanzi,Iowa,Big Ten,13,150,254,59.1,1956,7.7,7.2,14,9,134.8,56,20,0.4,0,2008
Michael Desormeaux,Louisiana,Sun Belt,11,155,247,62.8,1876,7.6,6.6,13,11,135.0,144,1035,7.2,5,2008
Brian Johnson,Utah,MWC,13,268,394,68.0,2972,7.5,7.9,27,9,149.4,108,128,1.2,1,2008
Jerrod Johnson,Texas A&M,Big 12,12,194,326,59.5,2435,7.5,7.4,21,10,137.4,94,114,1.2,3,2008
Chase Holbrook,New Mexico State,WAC,12,309,457,67.6,3361,7.4,7.1,25,14,141.3,81,-196,-2.4,2,2008
Rusty Smith,Florida Atlantic,Sun Belt,13,234,435,53.8,3224,7.4,7.1,24,14,127.8,37,-82,-2.2,2,2008
Colin Kaepernick,Nevada,WAC,13,208,383,54.3,2849,7.4,7.8,22,7,132.1,161,1130,7.0,17,2008
Dan Lefevour,Central Michigan,MAC,11,251,376,66.8,2784,7.4,7.8,21,6,144.2,168,592,3.5,6,2008
Patrick Pinkney,East Carolina,CUSA,14,223,363,61.4,2675,7.4,7.2,13,7,131.3,90,50,0.6,1,2008
Tony Pike,Cincinnati,Big East,12,199,324,61.4,2407,7.4,7.1,19,11,136.4,56,47,0.8,1,2008
Paul McCall,Florida International,Sun Belt,12,167,317,52.7,2332,7.4,7.0,15,9,124.4,88,126,1.4,1,2008
Joe Craddock,Middle Tennessee State,Sun Belt,12,237,367,64.6,2677,7.3,7.3,15,7,135.5,83,118,1.4,0,2008
Andy Dalton,TCU,MWC,11,182,307,59.3,2242,7.3,7.3,11,5,129.2,113,432,3.8,8,2008
Omar Clayton,UNLV,MWC,9,152,258,58.9,1894,7.3,8.0,18,4,140.5,67,163,2.4,1,2008
Jeremiah Masoli,Oregon,Pac-10,12,136,239,56.9,1744,7.3,7.4,13,5,132.0,127,718,5.7,10,2008
Jimmy Clausen,Notre Dame,Ind,13,268,440,60.9,3172,7.2,6.6,25,17,132.5,54,-73,-1.4,0,2008
Tom Brandstater,Fresno State,WAC,13,221,371,59.6,2664,7.2,6.7,18,12,129.4,51,-50,-1.0,4,2008
Cullen Harper,Clemson,ACC,13,221,360,61.4,2601,7.2,6.2,13,14,126.2,54,-140,-2.6,2,2008
Casey Dick,Arkansas,SEC,11,205,357,57.4,2586,7.2,6.2,13,14,122.4,72,-51,-0.7,3,2008
Chandler Harnish,Northern Illinois,MAC,10,118,211,55.9,1528,7.2,6.1,8,9,120.7,118,539,4.6,4,2008
Tim Hiller,Western Michigan,MAC,13,339,522,64.9,3725,7.1,7.7,36,10,143.8,38,2,0.1,1,2008
Drew Willy,Buffalo,MAC,14,304,468,65.0,3304,7.1,7.6,25,6,139.3,65,-115,-1.8,4,2008
Rudy Carpenter,Arizona State,Pac-10,12,213,351,60.7,2493,7.1,6.9,16,9,130.3,52,-150,-2.9,1,2008
Bill Stull,Pitt,Big East,12,188,330,57.0,2356,7.1,6.3,9,10,119.9,35,-136,-3.9,1,2008
Russell Wilson,North Carolina State,ACC,11,150,275,54.5,1955,7.1,8.2,17,1,133.9,116,388,3.3,4,2008
Bo Levi Mitchell,SMU,CUSA,12,236,410,57.6,2865,7.0,5.6,24,23,124.4,51,-140,-2.7,1,2008
Austen Arnaud,Iowa State,Big 12,12,247,401,61.6,2792,7.0,6.6,15,10,127.4,109,401,3.7,5,2008
Lyle Moevao,Oregon State,Pac-10,11,214,361,59.3,2534,7.0,6.5,19,13,128.4,36,-118,-3.3,2,2008
John Parker Wilson,Alabama,SEC,14,187,323,57.9,2273,7.0,6.5,10,8,122.3,72,-6,-0.1,5,2008
Jarrett Lee,LSU,SEC,11,143,269,53.2,1873,7.0,5.3,14,16,116.9,11,-97,-8.8,0,2008
Diondre Borel,Utah State,WAC,12,136,242,56.2,1705,7.0,6.1,11,10,122.1,179,632,3.5,5,2008
Austin Davis,Southern Mississippi,CUSA,13,261,454,57.5,3128,6.9,7.1,23,8,128.6,155,508,3.3,9,2008
Chris Jacquemain,Akron,MAC,12,231,399,57.9,2748,6.9,6.3,20,14,125.3,55,46,0.8,1,2008
Brian Hoyer,Michigan State,Big Ten,13,180,353,51.0,2404,6.8,6.2,9,9,111.5,43,-94,-2.2,1,2008
Arkelon Hall,Memphis,CUSA,11,191,335,57.0,2275,6.8,6.6,12,7,121.7,76,200,2.6,3,2008
Adam Weber,Minnesota,Big Ten,13,255,410,62.2,2761,6.7,6.6,15,8,126.9,127,233,1.8,4,2008
Chris Turner,Maryland,ACC,13,214,374,57.2,2516,6.7,6.1,13,11,119.3,43,-154,-3.6,1,2008
Joe Webb,UAB,CUSA,12,208,353,58.9,2367,6.7,5.2,10,16,115.5,198,1021,5.2,11,2008
Pat White,West Virginia,Big East,12,180,274,65.7,1842,6.7,7.1,21,7,142.3,191,974,5.1,8,2008
Hunter Cantwell,Louisville,Big East,12,221,377,58.6,2493,6.6,5.6,16,16,119.7,39,-115,-2.9,1,2008
Kevin Moore,Tulane,CUSA,12,187,334,56.0,2194,6.6,5.3,8,13,111.3,31,-58,-1.9,0,2008
Julian Edelman,Kent State,MAC,12,153,275,55.6,1820,6.6,5.8,13,11,118.8,215,1370,6.4,13,2008
Tyler Sheehan,Bowling Green State,MAC,12,267,400,66.8,2610,6.5,6.5,20,9,133.6,105,237,2.3,7,2008
Riley Skinner,Wake Forest,ACC,13,232,363,63.9,2347,6.5,6.3,13,7,126.2,104,144,1.4,1,2008
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,186,313,59.4,2040,6.5,6.7,18,7,128.7,131,614,4.7,4,2008
Chris Smelley,South Carolina,SEC,12,169,302,56.0,1922,6.4,5.1,14,15,114.8,39,-7,-0.2,0,2008
Tavita Pritchard,Stanford,Pac-10,12,147,254,57.9,1633,6.4,4.9,10,13,114.6,66,113,1.7,1,2008
Andy Schmitt,Eastern Michigan,MAC,11,261,417,62.6,2644,6.3,6.2,15,8,123.9,57,171,3.0,5,2008
Curtis Painter,Purdue,Big Ten,10,227,379,59.9,2400,6.3,5.7,13,11,118.6,44,10,0.2,0,2008
Christian Ponder,Florida State,ACC,13,177,318,55.7,2006,6.3,5.3,14,13,115.0,119,423,3.6,4,2008
Ryan Lindley,San Diego State,MWC,11,242,427,56.7,2653,6.2,6.0,16,9,117.0,31,-62,-2.0,1,2008
Levi Brown,Troy,Sun Belt,10,201,326,61.7,2030,6.2,6.7,15,3,127.3,33,17,0.5,0,2008
Kyle Reed,San Jose State,WAC,10,162,253,64.0,1563,6.2,5.8,9,6,122.9,87,80,0.9,4,2008
Kevin Riley,California,Pac-10,11,112,221,50.7,1360,6.2,6.2,14,6,117.8,30,-56,-1.9,1,2008
Nathan Enderle,Idaho,WAC,12,184,339,54.3,2077,6.1,5.1,20,17,115.2,76,-22,-0.3,1,2008
Robert Marve,Miami (FL),ACC,11,116,213,54.5,1293,6.1,4.2,9,13,107.2,59,119,2.0,2,2008
C.J. Bacher,Northwestern,Big Ten,11,245,408,60.0,2432,6.0,5.1,17,15,116.5,84,230,2.7,3,2008
Thaddeus Lewis,Duke,ACC,11,224,361,62.0,2171,6.0,6.1,15,6,123.0,69,96,1.4,2,2008
Cody Hawkins,Colorado,Big 12,12,183,320,57.2,1892,5.9,5.6,17,10,118.1,57,-23,-0.4,3,2008
Kellen Lewis,Indiana,Big Ten,10,110,193,57.0,1131,5.9,4.6,6,8,108.2,93,500,5.4,3,2008
Aaron Opelt,Toledo,MAC,12,225,376,59.8,2176,5.8,5.6,12,7,115.3,42,-44,-1.0,5,2008
Marc Verica,Virginia,ACC,11,226,354,63.8,2037,5.8,4.2,8,16,110.6,32,-71,-2.2,1,2008
Mark Cann,Marshall,CUSA,11,154,307,50.2,1767,5.8,4.8,14,13,105.1,35,-40,-1.1,1,2008
Tyson Lee,Mississippi State,SEC,11,153,260,58.8,1519,5.8,5.5,7,5,113.0,62,37,0.6,1,2008
Daniel Raudabaugh,Miami (OH),MAC,11,201,343,58.6,1960,5.7,5.0,8,9,109.0,25,-22,-0.9,0,2008
Giovanni Vizza,North Texas,Sun Belt,12,309,493,62.7,2758,5.6,4.7,15,16,113.2,95,116,1.2,2,2008
Kevin Craft,UCLA,Pac-10,12,232,417,55.6,2341,5.6,3.8,7,20,98.7,82,20,0.2,0,2008
Chris Crane,Boston College,ACC,11,169,307,55.0,1721,5.6,4.4,10,13,104.4,82,219,2.7,7,2008
Brad Gruner,New Mexico,MWC,10,99,184,53.8,1037,5.6,4.5,3,6,100.0,76,331,4.4,3,2008
David Wolke,Western Kentucky,Sun Belt,11,117,232,50.4,1278,5.5,4.3,8,10,99.5,93,301,3.2,3,2008
Steven Threet,Michigan,Big Ten,11,102,200,51.0,1105,5.5,4.9,9,7,105.3,76,201,2.6,2,2008
Mike Hartline,Kentucky,SEC,11,172,311,55.3,1666,5.4,4.8,9,8,104.7,24,-9,-0.4,0,2008
Ronnie Fouch,Washington,Pac-10,11,113,250,45.2,1339,5.4,3.3,4,13,85.1,44,-105,-2.4,1,2008
Cameron Dantley,Syracuse,Big East,11,121,251,48.2,1298,5.2,5.2,11,5,102.1,41,-56,-1.4,0,2008
Tyrod Taylor,Virginia Tech,ACC,13,136,243,56.0,2311,9.5,9.7,13,5,149.4,106,370,3.5,5,2009
Nathan Enderle,Idaho,WAC,11,192,312,61.5,2906,9.3,9.4,22,9,157.3,41,-55,-1.3,0,2009
Tim Tebow,Florida,SEC,14,213,314,67.8,2895,9.2,9.8,21,5,164.2,217,910,4.2,14,2009
Ryan Mallett,Arkansas,SEC,13,225,403,55.8,3624,9.0,9.7,30,7,152.5,58,-29,-0.5,2,2009
Andrew Luck,Stanford,Pac-10,12,162,288,56.3,2575,8.9,9.2,13,4,143.5,61,354,5.8,2,2009
Jimmy Clausen,Notre Dame,Ind,12,289,425,68.0,3722,8.8,9.7,28,4,161.4,59,-95,-1.6,3,2009
Max Hall,Brigham Young,MWC,13,275,409,67.2,3560,8.7,8.8,33,14,160.1,72,75,1.0,2,2009
B.J. Daniels,South Florida,Big East,13,122,227,53.7,1983,8.7,8.2,14,9,139.5,175,772,4.4,9,2009
Andy Dalton,TCU,MWC,13,199,323,61.6,2756,8.5,8.8,23,8,151.8,116,512,4.4,3,2009
Joe Webb,UAB,CUSA,12,162,271,59.8,2299,8.5,8.7,21,8,150.7,227,1427,6.3,11,2009
